Player,PPG,success,age,tenure_years,guard,prime_age,first_round,draft_pick
Chet Holmgren,16.5,0,22,1,0,0,1,2
Josh Giddey,12.3,0,22,3,1,0,1,6
Jalen Williams,19.1,0,23,2,1,0,1,12
Shai Gilgeous-Alexander,30.1,1,26,5,1,1,1,11
Jaylin Williams,4.0,0,22,2,0,0,0,34
Isaiah Joe,8.2,0,25,2,1,1,0,49
Luguentz Dort,10.9,0,25,5,1,1,0,61
Cason Wallace,6.8,0,21,1,1,0,1,10
Kenrich Williams,4.7,0,30,4,1,1,0,61
Aaron Wiggins,6.9,0,25,3,1,1,0,55
Nikola Jokić,26.4,1,29,9,0,1,0,41
Jamal Murray,21.2,1,27,8,1,1,1,7
Reggie Jackson,10.2,0,34,2,1,0,1,24
Kentavious Caldwell-Pope,10.1,0,31,2,1,0,1,8
Michael Porter Jr.,16.7,0,26,5,0,1,1,14
Aaron Gordon,13.9,0,29,4,0,1,1,4
Peyton Watson,6.7,0,22,2,1,0,1,30
Christian Braun,7.3,0,23,2,1,0,1,21
Justin Holiday,4.0,0,35,1,1,0,0,61
Zeke Nnaji,3.2,0,23,4,0,0,1,22
Mike Conley,11.4,0,37,2,1,0,1,4
Rudy Gobert,14.0,0,32,2,0,0,1,27
Anthony Edwards,25.9,1,23,4,1,0,1,1
Nickeil Alexander-Walker,8.0,0,26,2,1,1,1,17
Karl-Anthony Towns,21.8,1,29,9,0,1,1,1
Jaden McDaniels,10.5,0,24,4,0,0,1,28
Kyle Anderson,6.4,0,31,2,1,0,1,30
Naz Reid,13.5,0,25,5,0,1,0,61
Jordan McLaughlin,3.5,0,28,5,1,1,0,61
T.J. Warren,3.7,0,31,1,0,0,1,14
James Harden,16.6,0,35,1,1,0,1,3
Ivica Zubac,11.7,0,27,6,0,1,0,32
Paul George,22.6,1,34,5,0,0,1,10
Terance Mann,8.8,0,28,5,1,1,0,48
Kawhi Leonard,23.7,1,33,5,0,0,1,15
Russell Westbrook,11.1,0,36,2,1,0,1,4
Norman Powell,13.9,0,31,3,1,0,0,46
Mason Plumlee,5.3,0,34,2,0,0,1,22
Amir Coffey,6.6,0,27,5,1,1,0,61
Bones Hyland,6.9,0,24,2,1,0,1,26
Kyrie Irving,25.6,1,32,2,1,0,1,1
Luka Dončić,33.9,1,25,6,1,1,1,3
Dereck Lively II,8.8,0,20,1,0,0,1,12
Tim Hardaway Jr.,14.4,0,32,6,1,0,1,24
Derrick Jones Jr.,8.6,0,27,1,0,1,0,61
Danté Exum,7.8,0,29,1,1,1,1,5
Josh Green,8.2,0,24,4,1,0,1,18
P.J. Washington,13.6,0,26,5,0,1,1,12
Daniel Gafford,10.9,0,26,4,0,1,0,38
Jaden Hardy,7.3,0,22,2,1,0,0,37
Jusuf Nurkić,10.9,0,30,1,0,1,1,16
Kevin Durant,27.1,1,36,2,0,0,1,2
Devin Booker,27.1,1,28,9,1,1,1,13
Grayson Allen,13.5,0,29,1,1,1,1,21
Bradley Beal,18.2,0,31,1,1,0,1,3
Eric Gordon,11.0,0,36,1,1,0,1,7
Drew Eubanks,5.1,0,27,1,0,1,0,61
Royce O'Neale,7.4,0,31,2,0,0,0,61
Josh Okogie,4.6,0,26,2,1,1,1,20
David Roddy,8.4,0,23,2,0,0,1,23
Anthony Davis,24.7,1,31,5,0,0,1,1
D'Angelo Russell,18.0,0,28,9,1,1,1,2
Austin Reaves,15.9,0,26,3,1,1,0,61
LeBron James,25.7,1,40,6,0,0,1,1
Rui Hachimura,13.6,0,26,2,0,1,1,9
Taurean Prince,8.9,0,30,1,0,1,1,12
Jaxson Hayes,4.3,0,24,1,0,0,1,8
Max Christie,4.2,0,21,2,1,0,0,35
Spencer Dinwiddie,12.6,0,31,8,1,0,0,38
Cam Reddish,5.4,0,25,1,1,1,1,10
Jonas Valančiūnas,12.2,0,32,3,0,0,1,5
CJ McCollum,20.0,1,33,3,1,0,1,10
Zion Williamson,22.9,1,24,5,0,0,1,1
Herbert Jones,11.0,0,26,3,0,1,0,35
Brandon Ingram,20.8,1,27,5,0,1,1,2
Trey Murphy III,14.8,0,24,3,0,0,1,17
Larry Nance Jr.,5.7,0,31,3,0,0,1,27
Dyson Daniels,5.8,0,21,2,1,0,1,8
Naji Marshall,7.1,0,26,4,0,1,0,61
Jordan Hawkins,7.8,0,22,1,1,0,1,14
Domantas Sabonis,19.4,0,28,3,0,1,1,11
De'Aaron Fox,26.6,1,27,7,1,1,1,5
Keegan Murray,15.2,0,24,2,0,0,1,4
Malik Monk,15.4,0,26,2,1,1,1,11
Harrison Barnes,12.2,0,32,6,0,0,1,7
Kevin Huerter,10.2,0,26,2,1,1,1,19
Davion Mitchell,5.3,0,26,3,1,1,1,9
Trey Lyles,7.2,0,29,3,0,1,1,12
Keon Ellis,5.4,0,24,2,1,0,0,61
Chris Duarte,3.9,0,27,1,1,1,1,13
Draymond Green,8.6,0,34,12,0,0,0,35
Stephen Curry,26.4,1,36,15,1,0,1,7
Chris Paul,9.2,0,39,1,1,0,1,4
Jonathan Kuminga,16.1,0,22,3,0,0,1,7
Kevon Looney,4.5,0,28,9,0,1,1,30
Brandin Podziemski,9.2,0,21,1,1,0,1,19
Andrew Wiggins,13.2,0,29,5,0,1,1,1
Trayce Jackson-Davis,7.9,0,24,1,0,0,0,57
Klay Thompson,17.9,0,34,13,1,0,1,11
Moses Moody,8.1,0,22,3,1,0,1,14
Fred VanVleet,17.4,0,30,1,1,1,0,61
Jalen Green,19.6,0,22,3,1,0,1,2
Jabari Smith Jr.,13.7,0,21,2,0,0,1,3
Alperen Sengun,21.1,1,22,3,0,0,1,16
Dillon Brooks,12.7,0,28,1,1,1,0,45
Amen Thompson,9.5,0,21,1,1,0,1,4
Jae'Sean Tate,4.1,0,29,4,0,1,0,61
Jeff Green,6.5,0,38,5,0,0,1,5
Aaron Holiday,6.6,0,28,1,1,1,1,23
Cam Whitmore,12.3,0,20,1,0,0,1,20
