Passer,Receiver,Team,Passes,Assists
Derrick White,Jayson Tatum,BOS,923,69
Jayson Tatum,Derrick White,BOS,826,48
Jayson Tatum,Jrue Holiday,BOS,782,58
Jrue Holiday,Jayson Tatum,BOS,745,59
Derrick White,Jaylen Brown,BOS,719,82
Jrue Holiday,Jaylen Brown,BOS,499,68
Jayson Tatum,Jaylen Brown,BOS,491,43
Jaylen Brown,Derrick White,BOS,487,42
Payton Pritchard,Jayson Tatum,BOS,482,29
Derrick White,Kristaps Porziņģis,BOS,466,71
Jrue Holiday,Derrick White,BOS,456,46
Kristaps Porziņģis,Derrick White,BOS,452,29
Derrick White,Jrue Holiday,BOS,439,38
Jayson Tatum,Kristaps Porziņģis,BOS,429,77
Sam Hauser,Payton Pritchard,BOS,409,25
Kristaps Porziņģis,Jayson Tatum,BOS,385,22
Jayson Tatum,Payton Pritchard,BOS,374,17
Al Horford,Jayson Tatum,BOS,362,29
Jaylen Brown,Kristaps Porziņģis,BOS,359,64
Al Horford,Derrick White,BOS,355,27
Jayson Tatum,Al Horford,BOS,326,52
Payton Pritchard,Sam Hauser,BOS,326,54
Kristaps Porziņģis,Jaylen Brown,BOS,320,29
Jaylen Brown,Jayson Tatum,BOS,311,31
Kristaps Porziņģis,Jrue Holiday,BOS,294,11
Jaylen Brown,Jrue Holiday,BOS,290,32
Jrue Holiday,Kristaps Porziņģis,BOS,275,60
Jrue Holiday,Payton Pritchard,BOS,273,18
Payton Pritchard,Jrue Holiday,BOS,267,19
Payton Pritchard,Derrick White,BOS,262,12
Al Horford,Jrue Holiday,BOS,260,14
Al Horford,Jaylen Brown,BOS,244,38
Sam Hauser,Derrick White,BOS,243,6
Derrick White,Al Horford,BOS,235,35
Derrick White,Payton Pritchard,BOS,235,20
Payton Pritchard,Jaylen Brown,BOS,232,16
Al Horford,Payton Pritchard,BOS,229,14
Luke Kornet,Payton Pritchard,BOS,214,11
Jaylen Brown,Al Horford,BOS,195,21
Sam Hauser,Jrue Holiday,BOS,188,7
Jrue Holiday,Al Horford,BOS,187,25
Sam Hauser,Jayson Tatum,BOS,187,8
Payton Pritchard,Luke Kornet,BOS,172,29
Jayson Tatum,Sam Hauser,BOS,170,39
Jaylen Brown,Payton Pritchard,BOS,168,12
Payton Pritchard,Al Horford,BOS,167,30
Jrue Holiday,Sam Hauser,BOS,148,25
Derrick White,Sam Hauser,BOS,134,25
Luke Kornet,Derrick White,BOS,132,14
Payton Pritchard,Kristaps Porziņģis,BOS,127,17
Sam Hauser,Jaylen Brown,BOS,108,6
Jayson Tatum,Luke Kornet,BOS,101,10
Luke Kornet,Jayson Tatum,BOS,99,7
Xavier Tillman,Payton Pritchard,BOS,96,6
Derrick White,Luke Kornet,BOS,92,20
Jaylen Brown,Sam Hauser,BOS,91,25
Kristaps Porziņģis,Payton Pritchard,BOS,90,6
Luke Kornet,Jrue Holiday,BOS,89,6
Al Horford,Sam Hauser,BOS,80,22
Luke Kornet,Sam Hauser,BOS,72,10
Luke Kornet,Jaylen Brown,BOS,69,4
Jrue Holiday,Luke Kornet,BOS,68,14
Sam Hauser,Luke Kornet,BOS,58,1
Payton Pritchard,Xavier Tillman,BOS,56,10
Kristaps Porziņģis,Al Horford,BOS,56,9
Al Horford,Kristaps Porziņģis,BOS,54,7
Sam Hauser,Al Horford,BOS,51,4
Jaylen Brown,Luke Kornet,BOS,46,8
Sam Hauser,Kristaps Porziņģis,BOS,45,9
Kristaps Porziņģis,Sam Hauser,BOS,37,6
Xavier Tillman,Derrick White,BOS,33,4
Xavier Tillman,Jrue Holiday,BOS,26,2
Derrick White,Xavier Tillman,BOS,25,1
Xavier Tillman,Jayson Tatum,BOS,24,1
Jayson Tatum,Xavier Tillman,BOS,20,2
Al Horford,Luke Kornet,BOS,20,4
Xavier Tillman,Jaylen Brown,BOS,17,0
Jrue Holiday,Xavier Tillman,BOS,16,5
Luke Kornet,Al Horford,BOS,15,3
Sam Hauser,Xavier Tillman,BOS,14,4
Jaylen Brown,Xavier Tillman,BOS,12,2
Xavier Tillman,Sam Hauser,BOS,11,3
Luke Kornet,Kristaps Porziņģis,BOS,7,1
Luke Kornet,Xavier Tillman,BOS,7,0
Al Horford,Xavier Tillman,BOS,6,1
Kristaps Porziņģis,Luke Kornet,BOS,4,1
Xavier Tillman,Kristaps Porziņģis,BOS,4,2
Kristaps Porziņģis,Xavier Tillman,BOS,2,0
Xavier Tillman,Al Horford,BOS,2,1
Xavier Tillman,Luke Kornet,BOS,1,0
