Passer,Receiver,Team,Passes,Assists
Nic Claxton,Mikal Bridges,BKN,476,37
Dennis Schröder,Mikal Bridges,BKN,408,34
Nic Claxton,Cam Thomas,BKN,383,27
Nic Claxton,Dennis Schröder,BKN,374,4
Mikal Bridges,Cam Thomas,BKN,362,46
Mikal Bridges,Dennis Schröder,BKN,359,21
Cam Thomas,Mikal Bridges,BKN,335,44
Mikal Bridges,Nic Claxton,BKN,318,34
Dennis Schröder,Nic Claxton,BKN,309,45
Dorian Finney-Smith,Dennis Schröder,BKN,305,12
Mikal Bridges,Dorian Finney-Smith,BKN,303,34
Dorian Finney-Smith,Mikal Bridges,BKN,276,25
Mikal Bridges,Cameron Johnson,BKN,272,39
Cam Thomas,Nic Claxton,BKN,239,44
Cameron Johnson,Mikal Bridges,BKN,236,42
Trendon Watford,Cam Thomas,BKN,234,16
Dorian Finney-Smith,Cam Thomas,BKN,229,11
Dennis Smith Jr.,Mikal Bridges,BKN,227,28
Dennis Schröder,Cam Thomas,BKN,221,17
Mikal Bridges,Dennis Smith Jr.,BKN,206,17
Cam Thomas,Dennis Schröder,BKN,204,5
Dennis Smith Jr.,Cam Thomas,BKN,193,20
Nic Claxton,Cameron Johnson,BKN,185,22
Dennis Schröder,Dorian Finney-Smith,BKN,182,11
Day'Ron Sharpe,Cam Thomas,BKN,172,18
Dennis Smith Jr.,Lonnie Walker IV,BKN,162,17
Dennis Smith Jr.,Nic Claxton,BKN,156,31
Day'Ron Sharpe,Dennis Smith Jr.,BKN,155,5
Dennis Schröder,Cameron Johnson,BKN,147,14
Cameron Johnson,Nic Claxton,BKN,146,22
Day'Ron Sharpe,Mikal Bridges,BKN,142,15
Nic Claxton,Dennis Smith Jr.,BKN,137,6
Cameron Johnson,Dennis Schröder,BKN,134,7
Cam Thomas,Dennis Smith Jr.,BKN,133,5
Dennis Smith Jr.,Day'Ron Sharpe,BKN,132,26
Trendon Watford,Mikal Bridges,BKN,132,9
Dorian Finney-Smith,Dennis Smith Jr.,BKN,132,4
Cam Thomas,Dorian Finney-Smith,BKN,130,15
Mikal Bridges,Trendon Watford,BKN,126,9
Cameron Johnson,Dorian Finney-Smith,BKN,125,12
Trendon Watford,Dennis Smith Jr.,BKN,125,4
Cameron Johnson,Cam Thomas,BKN,121,13
Cam Thomas,Trendon Watford,BKN,121,7
Cam Thomas,Cameron Johnson,BKN,118,19
Dennis Smith Jr.,Cameron Johnson,BKN,118,13
Dorian Finney-Smith,Nic Claxton,BKN,105,12
Dorian Finney-Smith,Cameron Johnson,BKN,104,12
Lonnie Walker IV,Dennis Smith Jr.,BKN,104,9
Day'Ron Sharpe,Dennis Schröder,BKN,101,3
Dennis Smith Jr.,Trendon Watford,BKN,101,12
Trendon Watford,Lonnie Walker IV,BKN,98,3
Day'Ron Sharpe,Trendon Watford,BKN,98,3
Dennis Smith Jr.,Dorian Finney-Smith,BKN,96,19
Cam Thomas,Lonnie Walker IV,BKN,94,7
Mikal Bridges,Lonnie Walker IV,BKN,89,18
Dennis Schröder,Lonnie Walker IV,BKN,85,8
Lonnie Walker IV,Trendon Watford,BKN,83,4
Day'Ron Sharpe,Lonnie Walker IV,BKN,83,7
Trendon Watford,Day'Ron Sharpe,BKN,82,8
Trendon Watford,Nic Claxton,BKN,81,6
Trendon Watford,Dennis Schröder,BKN,81,0
Lonnie Walker IV,Mikal Bridges,BKN,78,5
Dennis Schröder,Day'Ron Sharpe,BKN,78,7
Lonnie Walker IV,Cam Thomas,BKN,77,10
Mikal Bridges,Day'Ron Sharpe,BKN,77,11
Nic Claxton,Dorian Finney-Smith,BKN,77,11
Cameron Johnson,Dennis Smith Jr.,BKN,76,4
Nic Claxton,Lonnie Walker IV,BKN,74,5
Cam Thomas,Day'Ron Sharpe,BKN,68,8
Day'Ron Sharpe,Cameron Johnson,BKN,67,9
Dennis Smith Jr.,Dennis Schröder,BKN,66,2
Lonnie Walker IV,Dennis Schröder,BKN,66,2
Nic Claxton,Trendon Watford,BKN,65,6
Cameron Johnson,Day'Ron Sharpe,BKN,65,6
Dennis Schröder,Trendon Watford,BKN,61,4
Trendon Watford,Cameron Johnson,BKN,56,5
Dorian Finney-Smith,Lonnie Walker IV,BKN,55,3
Dennis Schröder,Dennis Smith Jr.,BKN,50,4
Dorian Finney-Smith,Trendon Watford,BKN,47,2
Day'Ron Sharpe,Dorian Finney-Smith,BKN,45,5
Cameron Johnson,Trendon Watford,BKN,43,3
Cameron Johnson,Lonnie Walker IV,BKN,43,8
Trendon Watford,Dorian Finney-Smith,BKN,43,3
Lonnie Walker IV,Dorian Finney-Smith,BKN,42,9
Lonnie Walker IV,Nic Claxton,BKN,40,5
Lonnie Walker IV,Cameron Johnson,BKN,40,7
Dorian Finney-Smith,Day'Ron Sharpe,BKN,34,2
Lonnie Walker IV,Day'Ron Sharpe,BKN,26,5
