Passer,Receiver,Team,Passes,Assists
Brandon Miller,Miles Bridges,CHA,493,48
Miles Bridges,Brandon Miller,CHA,445,55
Miles Bridges,Cody Martin,CHA,221,13
Cody Martin,Miles Bridges,CHA,220,27
Nick Richards,Brandon Miller,CHA,204,8
Miles Bridges,LaMelo Ball,CHA,201,9
Brandon Miller,LaMelo Ball,CHA,199,9
Cody Martin,Brandon Miller,CHA,188,22
Grant Williams,Brandon Miller,CHA,186,21
LaMelo Ball,Brandon Miller,CHA,160,21
LaMelo Ball,Miles Bridges,CHA,154,22
Brandon Miller,Cody Martin,CHA,154,2
Brandon Miller,Grant Williams,CHA,154,17
Mark Williams,LaMelo Ball,CHA,125,5
Nick Richards,Miles Bridges,CHA,120,9
Brandon Miller,Nick Richards,CHA,117,13
Miles Bridges,Nick Smith Jr.,CHA,116,14
JT Thor,LaMelo Ball,CHA,112,3
JT Thor,Nick Smith Jr.,CHA,108,2
Miles Bridges,Nick Richards,CHA,104,22
Grant Williams,Miles Bridges,CHA,102,18
Nick Richards,Cody Martin,CHA,98,3
Nick Richards,LaMelo Ball,CHA,90,0
Nick Smith Jr.,Brandon Miller,CHA,89,7
Nick Smith Jr.,Miles Bridges,CHA,85,6
Cody Martin,Nick Richards,CHA,82,16
Brandon Miller,Nick Smith Jr.,CHA,81,4
Miles Bridges,Bryce McGowens,CHA,80,7
Miles Bridges,Grant Williams,CHA,79,9
Nick Smith Jr.,Bryce McGowens,CHA,69,6
Nick Smith Jr.,JT Thor,CHA,68,8
Bryce McGowens,Nick Smith Jr.,CHA,67,6
Bryce McGowens,Miles Bridges,CHA,65,8
LaMelo Ball,Mark Williams,CHA,63,17
Nick Richards,Nick Smith Jr.,CHA,56,1
Bryce McGowens,Brandon Miller,CHA,54,10
JT Thor,Brandon Miller,CHA,54,3
JT Thor,Bryce McGowens,CHA,54,5
Bryce McGowens,LaMelo Ball,CHA,53,0
LaMelo Ball,Nick Richards,CHA,53,20
Brandon Miller,Bryce McGowens,CHA,51,3
LaMelo Ball,Bryce McGowens,CHA,48,5
Bryce McGowens,JT Thor,CHA,45,1
Brandon Miller,JT Thor,CHA,44,9
LaMelo Ball,JT Thor,CHA,42,6
Mark Williams,Brandon Miller,CHA,38,5
Cody Martin,Grant Williams,CHA,38,2
Grant Williams,Cody Martin,CHA,35,2
Nick Smith Jr.,Nick Richards,CHA,34,3
Miles Bridges,JT Thor,CHA,33,5
JT Thor,Miles Bridges,CHA,31,2
Nick Smith Jr.,LaMelo Ball,CHA,31,0
Nick Smith Jr.,Cody Martin,CHA,29,1
Bryce McGowens,Nick Richards,CHA,28,4
Brandon Miller,Mark Williams,CHA,27,3
LaMelo Ball,Cody Martin,CHA,26,2
Nick Richards,Bryce McGowens,CHA,24,4
Grant Williams,Nick Richards,CHA,23,5
Nick Smith Jr.,Grant Williams,CHA,22,0
Cody Martin,LaMelo Ball,CHA,22,3
Cody Martin,Nick Smith Jr.,CHA,21,3
LaMelo Ball,Nick Smith Jr.,CHA,18,2
Bryce McGowens,Grant Williams,CHA,18,0
Nick Richards,Grant Williams,CHA,18,1
Cody Martin,Bryce McGowens,CHA,17,2
Grant Williams,Nick Smith Jr.,CHA,15,1
Mark Williams,Miles Bridges,CHA,15,1
Bryce McGowens,Cody Martin,CHA,14,0
Miles Bridges,Mark Williams,CHA,13,2
JT Thor,Grant Williams,CHA,10,2
Grant Williams,Bryce McGowens,CHA,10,1
Grant Williams,JT Thor,CHA,8,4
Mark Williams,JT Thor,CHA,8,1
JT Thor,Nick Richards,CHA,6,1
Bryce McGowens,Mark Williams,CHA,6,2
Nick Richards,JT Thor,CHA,5,0
JT Thor,Mark Williams,CHA,4,1
JT Thor,Cody Martin,CHA,3,0
Cody Martin,JT Thor,CHA,1,0
