Passer,Receiver,Team,Passes,Assists
Coby White,DeMar DeRozan,CHI,1077,69
Nikola Vučević,Coby White,CHI,999,55
Coby White,Nikola Vučević,CHI,859,114
DeMar DeRozan,Coby White,CHI,758,71
Alex Caruso,DeMar DeRozan,CHI,737,28
Nikola Vučević,DeMar DeRozan,CHI,732,40
DeMar DeRozan,Nikola Vučević,CHI,728,95
Alex Caruso,Coby White,CHI,672,35
Ayo Dosunmu,DeMar DeRozan,CHI,555,33
Ayo Dosunmu,Nikola Vučević,CHI,531,73
Alex Caruso,Nikola Vučević,CHI,488,75
Coby White,Ayo Dosunmu,CHI,469,53
Ayo Dosunmu,Coby White,CHI,461,40
Nikola Vučević,Ayo Dosunmu,CHI,457,37
Coby White,Alex Caruso,CHI,449,32
Nikola Vučević,Alex Caruso,CHI,430,26
DeMar DeRozan,Alex Caruso,CHI,390,44
Alex Caruso,Ayo Dosunmu,CHI,364,25
Patrick Williams,Coby White,CHI,360,11
DeMar DeRozan,Ayo Dosunmu,CHI,356,49
Zach LaVine,Coby White,CHI,315,20
Zach LaVine,Nikola Vučević,CHI,301,43
Coby White,Patrick Williams,CHI,290,31
Torrey Craig,Coby White,CHI,274,10
Ayo Dosunmu,Alex Caruso,CHI,271,23
Coby White,Zach LaVine,CHI,261,16
Andre Drummond,DeMar DeRozan,CHI,222,4
Nikola Vučević,Zach LaVine,CHI,209,18
Torrey Craig,DeMar DeRozan,CHI,197,4
Patrick Williams,DeMar DeRozan,CHI,192,10
DeMar DeRozan,Jevon Carter,CHI,190,30
Andre Drummond,Coby White,CHI,189,1
Jevon Carter,DeMar DeRozan,CHI,182,16
Torrey Craig,Ayo Dosunmu,CHI,172,6
Zach LaVine,DeMar DeRozan,CHI,170,10
Jevon Carter,Coby White,CHI,165,6
DeMar DeRozan,Zach LaVine,CHI,157,13
Andre Drummond,Alex Caruso,CHI,153,7
Nikola Vučević,Patrick Williams,CHI,152,23
Alex Caruso,Zach LaVine,CHI,150,8
Coby White,Jevon Carter,CHI,150,13
Ayo Dosunmu,Jevon Carter,CHI,149,9
Jevon Carter,Ayo Dosunmu,CHI,147,10
DeMar DeRozan,Patrick Williams,CHI,146,24
Nikola Vučević,Jevon Carter,CHI,141,10
Coby White,Torrey Craig,CHI,138,19
DeMar DeRozan,Andre Drummond,CHI,136,44
Patrick Williams,Nikola Vučević,CHI,129,9
Patrick Williams,Ayo Dosunmu,CHI,129,9
Andre Drummond,Ayo Dosunmu,CHI,129,8
Alex Caruso,Andre Drummond,CHI,129,28
Nikola Vučević,Torrey Craig,CHI,126,14
Ayo Dosunmu,Torrey Craig,CHI,124,8
Torrey Craig,Nikola Vučević,CHI,122,9
Jevon Carter,Nikola Vučević,CHI,120,13
Coby White,Andre Drummond,CHI,118,21
Alex Caruso,Jevon Carter,CHI,114,9
Ayo Dosunmu,Patrick Williams,CHI,111,10
DeMar DeRozan,Torrey Craig,CHI,107,13
Andre Drummond,Jevon Carter,CHI,106,8
Jevon Carter,Alex Caruso,CHI,101,7
Jevon Carter,Andre Drummond,CHI,100,11
Zach LaVine,Alex Caruso,CHI,98,12
Ayo Dosunmu,Andre Drummond,CHI,92,14
Patrick Williams,Alex Caruso,CHI,91,6
Torrey Craig,Jevon Carter,CHI,90,6
Ayo Dosunmu,Zach LaVine,CHI,87,4
Alex Caruso,Patrick Williams,CHI,82,14
Patrick Williams,Zach LaVine,CHI,82,7
Torrey Craig,Alex Caruso,CHI,80,4
Jevon Carter,Torrey Craig,CHI,71,7
Torrey Craig,Zach LaVine,CHI,70,4
Patrick Williams,Jevon Carter,CHI,67,4
Zach LaVine,Ayo Dosunmu,CHI,57,4
Alex Caruso,Torrey Craig,CHI,50,6
Jevon Carter,Patrick Williams,CHI,49,3
Patrick Williams,Andre Drummond,CHI,49,3
Jevon Carter,Zach LaVine,CHI,44,2
Andre Drummond,Torrey Craig,CHI,36,2
Torrey Craig,Andre Drummond,CHI,35,4
Zach LaVine,Patrick Williams,CHI,32,3
Andre Drummond,Patrick Williams,CHI,31,1
Zach LaVine,Torrey Craig,CHI,30,2
Zach LaVine,Jevon Carter,CHI,28,1
Nikola Vučević,Andre Drummond,CHI,26,12
Andre Drummond,Zach LaVine,CHI,24,2
Zach LaVine,Andre Drummond,CHI,23,2
Torrey Craig,Patrick Williams,CHI,19,2
Patrick Williams,Torrey Craig,CHI,15,1
Andre Drummond,Nikola Vučević,CHI,12,1
