Passer,Receiver,Team,Passes,Assists
Jalen Duren,Cade Cunningham,DET,1112,38
Cade Cunningham,Jaden Ivey,DET,620,53
Cade Cunningham,Jalen Duren,DET,573,94
Jaden Ivey,Cade Cunningham,DET,561,38
Jalen Duren,Jaden Ivey,DET,491,26
Isaiah Stewart,Cade Cunningham,DET,449,14
James Wiseman,Marcus Sasser,DET,349,6
Jaden Ivey,Jalen Duren,DET,341,52
Ausar Thompson,Cade Cunningham,DET,340,17
Marcus Sasser,Jaden Ivey,DET,333,37
Cade Cunningham,Isaiah Stewart,DET,301,44
Cade Cunningham,Ausar Thompson,DET,273,54
Jaden Ivey,Marcus Sasser,DET,234,17
Jalen Duren,Marcus Sasser,DET,209,8
James Wiseman,Cade Cunningham,DET,190,6
Marcus Sasser,James Wiseman,DET,184,26
James Wiseman,Malachi Flynn,DET,181,2
James Wiseman,Jaden Ivey,DET,173,10
Cade Cunningham,Marcus Sasser,DET,158,9
Ausar Thompson,Marcus Sasser,DET,151,9
Isaiah Stewart,Jaden Ivey,DET,151,14
Marcus Sasser,Cade Cunningham,DET,151,6
Ausar Thompson,Jaden Ivey,DET,141,15
Marcus Sasser,Jalen Duren,DET,136,10
Cade Cunningham,Simone Fontecchio,DET,133,27
Simone Fontecchio,Cade Cunningham,DET,125,2
Jaden Ivey,Isaiah Stewart,DET,113,18
Jalen Duren,Ausar Thompson,DET,112,9
Marcus Sasser,Ausar Thompson,DET,110,21
Jaden Ivey,Ausar Thompson,DET,101,24
Jaden Ivey,James Wiseman,DET,97,20
Malachi Flynn,James Wiseman,DET,95,4
Isaiah Stewart,Ausar Thompson,DET,93,7
Ausar Thompson,Jalen Duren,DET,91,15
Cade Cunningham,James Wiseman,DET,91,24
Ausar Thompson,Isaiah Stewart,DET,89,14
Jalen Duren,Isaiah Stewart,DET,86,17
Isaiah Stewart,Marcus Sasser,DET,80,4
Marcus Sasser,Isaiah Stewart,DET,63,11
Isaiah Stewart,Jalen Duren,DET,51,6
Jaden Ivey,Simone Fontecchio,DET,49,13
James Wiseman,Ausar Thompson,DET,49,2
Marcus Sasser,Simone Fontecchio,DET,47,10
Simone Fontecchio,Marcus Sasser,DET,46,1
Malachi Flynn,Jaden Ivey,DET,41,1
Simone Fontecchio,Jaden Ivey,DET,40,2
Jalen Duren,Malachi Flynn,DET,33,0
Malachi Flynn,Marcus Sasser,DET,31,1
Marcus Sasser,Malachi Flynn,DET,31,2
Ausar Thompson,James Wiseman,DET,29,5
Jaden Ivey,Malachi Flynn,DET,26,1
Jalen Duren,Simone Fontecchio,DET,26,6
Simone Fontecchio,Jalen Duren,DET,24,5
Simone Fontecchio,Ausar Thompson,DET,24,7
Simone Fontecchio,Isaiah Stewart,DET,23,2
Malachi Flynn,Quentin Grimes,DET,23,1
Malachi Flynn,Jalen Duren,DET,22,2
James Wiseman,Quentin Grimes,DET,21,0
Quentin Grimes,Malachi Flynn,DET,21,1
Ausar Thompson,Simone Fontecchio,DET,19,3
Quentin Grimes,Cade Cunningham,DET,18,2
Malachi Flynn,Simone Fontecchio,DET,17,2
Quentin Grimes,James Wiseman,DET,16,1
Cade Cunningham,Quentin Grimes,DET,15,0
Marcus Sasser,Quentin Grimes,DET,15,1
Isaiah Stewart,Simone Fontecchio,DET,14,1
Quentin Grimes,Simone Fontecchio,DET,13,3
Simone Fontecchio,James Wiseman,DET,13,1
James Wiseman,Simone Fontecchio,DET,12,1
Simone Fontecchio,Malachi Flynn,DET,12,0
Simone Fontecchio,Quentin Grimes,DET,11,2
James Wiseman,Isaiah Stewart,DET,8,0
Quentin Grimes,Marcus Sasser,DET,8,1
Ausar Thompson,Malachi Flynn,DET,6,0
Malachi Flynn,Ausar Thompson,DET,6,0
Jaden Ivey,Quentin Grimes,DET,5,0
Ausar Thompson,Quentin Grimes,DET,5,1
Malachi Flynn,Cade Cunningham,DET,5,2
Quentin Grimes,Jaden Ivey,DET,5,0
Isaiah Stewart,James Wiseman,DET,4,1
Isaiah Stewart,Quentin Grimes,DET,4,0
Quentin Grimes,Isaiah Stewart,DET,3,0
Jalen Duren,Quentin Grimes,DET,2,0
Quentin Grimes,Jalen Duren,DET,2,1
Cade Cunningham,Malachi Flynn,DET,2,0
Quentin Grimes,Ausar Thompson,DET,1,0
