Passer,Receiver,Team,Passes,Assists
James Harden,Paul George,LAC,1046,141
Ivica Zubac,James Harden,LAC,985,16
James Harden,Kawhi Leonard,LAC,950,107
Paul George,James Harden,LAC,891,22
Terance Mann,James Harden,LAC,550,9
Kawhi Leonard,James Harden,LAC,526,32
Russell Westbrook,Paul George,LAC,463,48
James Harden,Ivica Zubac,LAC,452,99
James Harden,Terance Mann,LAC,449,56
Russell Westbrook,Kawhi Leonard,LAC,435,60
Ivica Zubac,Paul George,LAC,385,17
Kawhi Leonard,Paul George,LAC,364,46
Paul George,Kawhi Leonard,LAC,351,51
Paul George,Russell Westbrook,LAC,350,28
James Harden,Norman Powell,LAC,289,64
Kawhi Leonard,Russell Westbrook,LAC,274,20
James Harden,Russell Westbrook,LAC,272,33
Russell Westbrook,Norman Powell,LAC,267,46
Norman Powell,James Harden,LAC,258,4
Russell Westbrook,James Harden,LAC,252,6
Ivica Zubac,Russell Westbrook,LAC,249,3
Norman Powell,Russell Westbrook,LAC,245,17
Paul George,Ivica Zubac,LAC,244,45
Mason Plumlee,James Harden,LAC,238,4
Paul George,Terance Mann,LAC,224,31
Amir Coffey,James Harden,LAC,220,8
Terance Mann,Paul George,LAC,216,25
James Harden,Amir Coffey,LAC,203,38
Terance Mann,Kawhi Leonard,LAC,200,23
Kawhi Leonard,Ivica Zubac,LAC,197,23
Ivica Zubac,Kawhi Leonard,LAC,192,18
Kawhi Leonard,Terance Mann,LAC,182,32
Kawhi Leonard,Norman Powell,LAC,180,42
Ivica Zubac,Terance Mann,LAC,145,13
Russell Westbrook,Ivica Zubac,LAC,144,48
Amir Coffey,Russell Westbrook,LAC,140,7
Paul George,Norman Powell,LAC,139,29
Mason Plumlee,Russell Westbrook,LAC,139,4
Norman Powell,Paul George,LAC,127,10
Terance Mann,Ivica Zubac,LAC,123,17
Terance Mann,Russell Westbrook,LAC,119,7
James Harden,Mason Plumlee,LAC,105,16
Russell Westbrook,Amir Coffey,LAC,104,25
Mason Plumlee,Bones Hyland,LAC,104,2
Bones Hyland,Paul George,LAC,103,9
Kawhi Leonard,Amir Coffey,LAC,100,15
Norman Powell,Kawhi Leonard,LAC,99,10
Ivica Zubac,Norman Powell,LAC,97,18
Amir Coffey,Bones Hyland,LAC,94,5
Amir Coffey,Kawhi Leonard,LAC,94,7
Russell Westbrook,Mason Plumlee,LAC,92,16
Paul George,Bones Hyland,LAC,84,4
Russell Westbrook,Terance Mann,LAC,82,8
Kawhi Leonard,Bones Hyland,LAC,82,6
Bones Hyland,Kawhi Leonard,LAC,82,10
Bones Hyland,Amir Coffey,LAC,81,8
Mason Plumlee,Norman Powell,LAC,77,11
Terance Mann,Norman Powell,LAC,77,15
Bones Hyland,Norman Powell,LAC,76,13
Norman Powell,Amir Coffey,LAC,73,14
Norman Powell,Bones Hyland,LAC,71,3
Amir Coffey,Norman Powell,LAC,71,15
Mason Plumlee,Paul George,LAC,71,6
Amir Coffey,Terance Mann,LAC,67,11
Bones Hyland,Mason Plumlee,LAC,66,4
Paul George,Amir Coffey,LAC,66,11
Terance Mann,Amir Coffey,LAC,63,6
Amir Coffey,Paul George,LAC,62,6
Norman Powell,Terance Mann,LAC,61,5
Paul George,Mason Plumlee,LAC,60,8
Terance Mann,Bones Hyland,LAC,57,2
Mason Plumlee,Kawhi Leonard,LAC,50,5
Ivica Zubac,Bones Hyland,LAC,49,0
Mason Plumlee,Amir Coffey,LAC,48,8
Bones Hyland,Terance Mann,LAC,46,7
Mason Plumlee,Terance Mann,LAC,43,6
Bones Hyland,Russell Westbrook,LAC,42,2
Kawhi Leonard,Mason Plumlee,LAC,41,7
Norman Powell,Ivica Zubac,LAC,41,7
Ivica Zubac,Amir Coffey,LAC,40,3
Terance Mann,Mason Plumlee,LAC,38,3
James Harden,Bones Hyland,LAC,31,3
Amir Coffey,Mason Plumlee,LAC,31,1
Bones Hyland,Ivica Zubac,LAC,30,3
Amir Coffey,Ivica Zubac,LAC,30,4
Russell Westbrook,Bones Hyland,LAC,29,3
Bones Hyland,James Harden,LAC,24,1
Norman Powell,Mason Plumlee,LAC,23,4
