Passer,Receiver,Team,Passes,Assists
Anthony Davis,LeBron James,LAL,1122,66
D'Angelo Russell,Anthony Davis,LAL,963,111
Austin Reaves,LeBron James,LAL,933,103
Anthony Davis,D'Angelo Russell,LAL,920,49
Anthony Davis,Austin Reaves,LAL,907,38
Austin Reaves,Anthony Davis,LAL,901,94
LeBron James,Austin Reaves,LAL,869,73
D'Angelo Russell,LeBron James,LAL,855,83
LeBron James,Anthony Davis,LAL,747,169
LeBron James,D'Angelo Russell,LAL,740,89
Austin Reaves,D'Angelo Russell,LAL,578,45
D'Angelo Russell,Austin Reaves,LAL,506,55
Rui Hachimura,Austin Reaves,LAL,362,21
Austin Reaves,Rui Hachimura,LAL,328,74
Rui Hachimura,D'Angelo Russell,LAL,311,12
Taurean Prince,LeBron James,LAL,310,18
D'Angelo Russell,Taurean Prince,LAL,306,58
Rui Hachimura,LeBron James,LAL,300,13
LeBron James,Taurean Prince,LAL,298,64
D'Angelo Russell,Rui Hachimura,LAL,288,65
Taurean Prince,D'Angelo Russell,LAL,280,14
LeBron James,Rui Hachimura,LAL,272,72
Anthony Davis,Taurean Prince,LAL,236,33
Austin Reaves,Taurean Prince,LAL,235,43
Jaxson Hayes,D'Angelo Russell,LAL,223,3
Taurean Prince,Austin Reaves,LAL,210,12
Jaxson Hayes,Austin Reaves,LAL,184,7
Taurean Prince,Anthony Davis,LAL,182,36
Jaxson Hayes,LeBron James,LAL,178,12
Max Christie,D'Angelo Russell,LAL,177,16
Anthony Davis,Rui Hachimura,LAL,166,37
Max Christie,Austin Reaves,LAL,141,3
D'Angelo Russell,Max Christie,LAL,139,25
Anthony Davis,Spencer Dinwiddie,LAL,135,3
D'Angelo Russell,Jaxson Hayes,LAL,126,28
Max Christie,LeBron James,LAL,125,3
LeBron James,Cam Reddish,LAL,117,19
Rui Hachimura,Anthony Davis,LAL,117,10
Spencer Dinwiddie,Anthony Davis,LAL,113,15
LeBron James,Max Christie,LAL,110,12
Cam Reddish,D'Angelo Russell,LAL,110,10
D'Angelo Russell,Cam Reddish,LAL,109,19
D'Angelo Russell,Spencer Dinwiddie,LAL,109,8
Austin Reaves,Jaxson Hayes,LAL,108,15
Austin Reaves,Spencer Dinwiddie,LAL,99,5
Austin Reaves,Cam Reddish,LAL,99,13
Austin Reaves,Max Christie,LAL,98,13
Cam Reddish,LeBron James,LAL,95,9
Spencer Dinwiddie,D'Angelo Russell,LAL,94,5
Spencer Dinwiddie,Austin Reaves,LAL,91,6
Spencer Dinwiddie,Rui Hachimura,LAL,85,18
Anthony Davis,Max Christie,LAL,85,9
LeBron James,Spencer Dinwiddie,LAL,84,10
Cam Reddish,Austin Reaves,LAL,84,2
LeBron James,Jaxson Hayes,LAL,82,23
Anthony Davis,Cam Reddish,LAL,76,6
Cam Reddish,Anthony Davis,LAL,72,13
Spencer Dinwiddie,LeBron James,LAL,71,8
Max Christie,Anthony Davis,LAL,71,4
Rui Hachimura,Spencer Dinwiddie,LAL,66,4
Jaxson Hayes,Max Christie,LAL,53,3
Max Christie,Taurean Prince,LAL,53,6
Taurean Prince,Spencer Dinwiddie,LAL,50,3
Jaxson Hayes,Spencer Dinwiddie,LAL,50,1
Taurean Prince,Rui Hachimura,LAL,47,10
Spencer Dinwiddie,Taurean Prince,LAL,47,7
Jaxson Hayes,Taurean Prince,LAL,47,2
Max Christie,Jaxson Hayes,LAL,46,6
Rui Hachimura,Taurean Prince,LAL,43,2
Cam Reddish,Taurean Prince,LAL,41,4
Max Christie,Rui Hachimura,LAL,41,9
Taurean Prince,Max Christie,LAL,39,6
Rui Hachimura,Max Christie,LAL,39,3
Taurean Prince,Cam Reddish,LAL,39,6
Jaxson Hayes,Rui Hachimura,LAL,34,2
Taurean Prince,Jaxson Hayes,LAL,32,7
Max Christie,Spencer Dinwiddie,LAL,29,2
Spencer Dinwiddie,Jaxson Hayes,LAL,28,5
Rui Hachimura,Cam Reddish,LAL,24,4
Rui Hachimura,Jaxson Hayes,LAL,24,3
Cam Reddish,Rui Hachimura,LAL,20,2
Spencer Dinwiddie,Max Christie,LAL,17,1
Max Christie,Cam Reddish,LAL,15,1
Cam Reddish,Max Christie,LAL,14,1
Jaxson Hayes,Cam Reddish,LAL,14,1
Jaxson Hayes,Anthony Davis,LAL,8,1
Spencer Dinwiddie,Cam Reddish,LAL,8,0
Cam Reddish,Spencer Dinwiddie,LAL,7,0
Anthony Davis,Jaxson Hayes,LAL,5,1
Cam Reddish,Jaxson Hayes,LAL,5,1
Max Christie,Max Christie,LAL,1,0
