Passer,Receiver,Team,Passes,Assists
Desmond Bane,Jaren Jackson Jr.,MEM,385,56
Jaren Jackson Jr.,Desmond Bane,MEM,353,24
Vince Williams Jr.,Jaren Jackson Jr.,MEM,327,40
Santi Aldama,Desmond Bane,MEM,268,14
Desmond Bane,Marcus Smart,MEM,262,16
Santi Aldama,Jaren Jackson Jr.,MEM,256,18
Marcus Smart,Desmond Bane,MEM,253,24
Jaren Jackson Jr.,Vince Williams Jr.,MEM,240,18
John Konchar,Jaren Jackson Jr.,MEM,230,23
Santi Aldama,Vince Williams Jr.,MEM,224,9
Desmond Bane,Santi Aldama,MEM,218,36
Vince Williams Jr.,Santi Aldama,MEM,201,17
Jaren Jackson Jr.,Santi Aldama,MEM,192,18
John Konchar,Santi Aldama,MEM,188,16
Luke Kennard,Jaren Jackson Jr.,MEM,185,20
John Konchar,Desmond Bane,MEM,152,5
Santi Aldama,Luke Kennard,MEM,150,15
Jaren Jackson Jr.,Luke Kennard,MEM,148,18
Vince Williams Jr.,Desmond Bane,MEM,145,8
Santi Aldama,John Konchar,MEM,145,12
Vince Williams Jr.,Luke Kennard,MEM,145,21
Luke Kennard,Vince Williams Jr.,MEM,142,18
John Konchar,Vince Williams Jr.,MEM,141,6
Marcus Smart,Jaren Jackson Jr.,MEM,127,20
Santi Aldama,GG Jackson,MEM,122,18
GG Jackson,Jaren Jackson Jr.,MEM,117,14
Luke Kennard,Santi Aldama,MEM,114,14
Ziaire Williams,Jaren Jackson Jr.,MEM,112,18
Ziaire Williams,Desmond Bane,MEM,111,1
Vince Williams Jr.,John Konchar,MEM,111,8
Desmond Bane,Vince Williams Jr.,MEM,110,10
Jaren Jackson Jr.,John Konchar,MEM,109,6
Jaren Jackson Jr.,Marcus Smart,MEM,106,7
Vince Williams Jr.,Ziaire Williams,MEM,105,11
Desmond Bane,John Konchar,MEM,104,4
Jake LaRavia,GG Jackson,MEM,104,13
Jaren Jackson Jr.,Ziaire Williams,MEM,100,5
Desmond Bane,Ziaire Williams,MEM,98,13
Jaren Jackson Jr.,GG Jackson,MEM,94,7
John Konchar,Luke Kennard,MEM,86,9
GG Jackson,Vince Williams Jr.,MEM,83,4
Vince Williams Jr.,GG Jackson,MEM,83,15
GG Jackson,Santi Aldama,MEM,81,9
GG Jackson,Jake LaRavia,MEM,80,3
John Konchar,GG Jackson,MEM,80,6
Luke Kennard,John Konchar,MEM,79,7
Ziaire Williams,Vince Williams Jr.,MEM,78,6
Luke Kennard,GG Jackson,MEM,77,13
Desmond Bane,Luke Kennard,MEM,75,7
Luke Kennard,Desmond Bane,MEM,72,7
Jake LaRavia,Jaren Jackson Jr.,MEM,72,7
Santi Aldama,Ziaire Williams,MEM,72,7
Ziaire Williams,Santi Aldama,MEM,71,15
GG Jackson,Luke Kennard,MEM,63,0
Ziaire Williams,Marcus Smart,MEM,59,0
GG Jackson,John Konchar,MEM,58,0
Jaren Jackson Jr.,Jake LaRavia,MEM,56,2
John Konchar,Ziaire Williams,MEM,56,6
John Konchar,Jake LaRavia,MEM,52,6
Marcus Smart,Luke Kennard,MEM,46,3
Luke Kennard,Marcus Smart,MEM,45,5
Jake LaRavia,Vince Williams Jr.,MEM,42,0
Ziaire Williams,Luke Kennard,MEM,41,2
Jake LaRavia,John Konchar,MEM,41,1
Jake LaRavia,Desmond Bane,MEM,41,1
Marcus Smart,Ziaire Williams,MEM,40,8
Ziaire Williams,GG Jackson,MEM,39,8
GG Jackson,Desmond Bane,MEM,39,0
Santi Aldama,Jake LaRavia,MEM,37,5
Vince Williams Jr.,Marcus Smart,MEM,36,4
Vince Williams Jr.,Jake LaRavia,MEM,36,5
Luke Kennard,Jake LaRavia,MEM,36,4
Luke Kennard,Ziaire Williams,MEM,35,4
Santi Aldama,Marcus Smart,MEM,35,1
Desmond Bane,GG Jackson,MEM,34,8
Jake LaRavia,Santi Aldama,MEM,34,4
Ziaire Williams,John Konchar,MEM,32,0
Jake LaRavia,Luke Kennard,MEM,32,3
Desmond Bane,Jake LaRavia,MEM,31,4
John Konchar,Marcus Smart,MEM,31,0
GG Jackson,Ziaire Williams,MEM,26,3
Marcus Smart,Santi Aldama,MEM,25,4
Jake LaRavia,Ziaire Williams,MEM,17,2
Marcus Smart,Vince Williams Jr.,MEM,14,2
Marcus Smart,John Konchar,MEM,11,1
Ziaire Williams,Jake LaRavia,MEM,9,0
