Passer,Receiver,Team,Passes,Assists
Bam Adebayo,Duncan Robinson,MIA,490,63
Bam Adebayo,Tyler Herro,MIA,489,49
Bam Adebayo,Terry Rozier,MIA,412,21
Tyler Herro,Bam Adebayo,MIA,400,55
Duncan Robinson,Bam Adebayo,MIA,392,57
Bam Adebayo,Jimmy Butler III,MIA,375,29
Jimmy Butler III,Bam Adebayo,MIA,337,31
Terry Rozier,Bam Adebayo,MIA,332,39
Kevin Love,Jimmy Butler III,MIA,311,26
Jaime Jaquez Jr.,Bam Adebayo,MIA,296,24
Bam Adebayo,Jaime Jaquez Jr.,MIA,275,33
Terry Rozier,Jimmy Butler III,MIA,263,22
Jimmy Butler III,Terry Rozier,MIA,255,23
Kevin Love,Jaime Jaquez Jr.,MIA,253,14
Caleb Martin,Jimmy Butler III,MIA,245,16
Jaime Jaquez Jr.,Jimmy Butler III,MIA,243,19
Jaime Jaquez Jr.,Duncan Robinson,MIA,242,31
Jimmy Butler III,Kevin Love,MIA,240,28
Jimmy Butler III,Caleb Martin,MIA,234,29
Caleb Martin,Bam Adebayo,MIA,234,18
Jimmy Butler III,Duncan Robinson,MIA,225,35
Caleb Martin,Jaime Jaquez Jr.,MIA,222,12
Jaime Jaquez Jr.,Caleb Martin,MIA,214,18
Duncan Robinson,Jimmy Butler III,MIA,211,19
Josh Richardson,Bam Adebayo,MIA,205,14
Jimmy Butler III,Tyler Herro,MIA,201,22
Duncan Robinson,Jaime Jaquez Jr.,MIA,201,28
Josh Richardson,Jaime Jaquez Jr.,MIA,198,12
Jaime Jaquez Jr.,Josh Richardson,MIA,196,12
Jimmy Butler III,Jaime Jaquez Jr.,MIA,186,30
Tyler Herro,Jimmy Butler III,MIA,178,19
Caleb Martin,Tyler Herro,MIA,174,15
Kevin Love,Tyler Herro,MIA,172,14
Caleb Martin,Terry Rozier,MIA,172,3
Bam Adebayo,Josh Richardson,MIA,171,13
Jaime Jaquez Jr.,Kevin Love,MIA,170,18
Bam Adebayo,Caleb Martin,MIA,169,13
Jaime Jaquez Jr.,Tyler Herro,MIA,169,11
Josh Richardson,Jimmy Butler III,MIA,163,8
Tyler Herro,Jaime Jaquez Jr.,MIA,156,12
Josh Richardson,Duncan Robinson,MIA,152,11
Kevin Love,Josh Richardson,MIA,151,8
Terry Rozier,Caleb Martin,MIA,146,14
Duncan Robinson,Caleb Martin,MIA,144,21
Caleb Martin,Duncan Robinson,MIA,143,17
Haywood Highsmith,Bam Adebayo,MIA,140,7
Tyler Herro,Caleb Martin,MIA,140,13
Haywood Highsmith,Jaime Jaquez Jr.,MIA,138,10
Terry Rozier,Duncan Robinson,MIA,137,19
Tyler Herro,Kevin Love,MIA,137,14
Haywood Highsmith,Tyler Herro,MIA,131,12
Jimmy Butler III,Josh Richardson,MIA,127,13
Kevin Love,Caleb Martin,MIA,126,12
Duncan Robinson,Josh Richardson,MIA,125,12
Tyler Herro,Duncan Robinson,MIA,125,13
Jaime Jaquez Jr.,Terry Rozier,MIA,124,7
Terry Rozier,Jaime Jaquez Jr.,MIA,123,10
Josh Richardson,Tyler Herro,MIA,122,9
Jimmy Butler III,Haywood Highsmith,MIA,118,21
Duncan Robinson,Terry Rozier,MIA,113,2
Haywood Highsmith,Jimmy Butler III,MIA,113,5
Jaime Jaquez Jr.,Haywood Highsmith,MIA,112,16
Duncan Robinson,Tyler Herro,MIA,112,6
Josh Richardson,Caleb Martin,MIA,112,14
Josh Richardson,Kevin Love,MIA,108,6
Haywood Highsmith,Josh Richardson,MIA,104,3
Tyler Herro,Josh Richardson,MIA,102,11
Caleb Martin,Josh Richardson,MIA,98,11
Bam Adebayo,Haywood Highsmith,MIA,97,15
Tyler Herro,Terry Rozier,MIA,96,4
Kevin Love,Duncan Robinson,MIA,93,9
Tyler Herro,Haywood Highsmith,MIA,92,12
Haywood Highsmith,Terry Rozier,MIA,89,2
Caleb Martin,Kevin Love,MIA,84,13
Haywood Highsmith,Caleb Martin,MIA,81,5
Terry Rozier,Tyler Herro,MIA,81,11
Duncan Robinson,Kevin Love,MIA,81,14
Haywood Highsmith,Duncan Robinson,MIA,72,5
Kevin Love,Terry Rozier,MIA,63,0
Kevin Love,Bam Adebayo,MIA,62,10
Josh Richardson,Haywood Highsmith,MIA,61,9
Duncan Robinson,Haywood Highsmith,MIA,61,3
Terry Rozier,Haywood Highsmith,MIA,56,10
Haywood Highsmith,Kevin Love,MIA,50,3
Kevin Love,Haywood Highsmith,MIA,47,5
Terry Rozier,Kevin Love,MIA,45,2
Caleb Martin,Haywood Highsmith,MIA,43,7
Bam Adebayo,Kevin Love,MIA,39,6
Josh Richardson,Terry Rozier,MIA,32,0
Terry Rozier,Josh Richardson,MIA,24,3
