Passer,Receiver,Team,Passes,Assists
Mike Conley,Anthony Edwards,MIN,1018,77
Rudy Gobert,Mike Conley,MIN,980,32
Anthony Edwards,Mike Conley,MIN,807,60
Mike Conley,Karl-Anthony Towns,MIN,662,114
Rudy Gobert,Anthony Edwards,MIN,589,21
Mike Conley,Rudy Gobert,MIN,569,78
Nickeil Alexander-Walker,Anthony Edwards,MIN,561,42
Mike Conley,Jaden McDaniels,MIN,515,56
Anthony Edwards,Karl-Anthony Towns,MIN,512,77
Karl-Anthony Towns,Anthony Edwards,MIN,505,33
Jaden McDaniels,Mike Conley,MIN,480,15
Karl-Anthony Towns,Mike Conley,MIN,477,23
Kyle Anderson,Anthony Edwards,MIN,461,54
Naz Reid,Anthony Edwards,MIN,444,17
Naz Reid,Mike Conley,MIN,427,13
Anthony Edwards,Nickeil Alexander-Walker,MIN,419,41
Mike Conley,Kyle Anderson,MIN,391,21
Kyle Anderson,Mike Conley,MIN,383,23
Anthony Edwards,Kyle Anderson,MIN,377,22
Nickeil Alexander-Walker,Kyle Anderson,MIN,376,19
Kyle Anderson,Naz Reid,MIN,361,64
Naz Reid,Nickeil Alexander-Walker,MIN,352,19
Kyle Anderson,Nickeil Alexander-Walker,MIN,337,30
Mike Conley,Naz Reid,MIN,336,50
Anthony Edwards,Naz Reid,MIN,330,66
Nickeil Alexander-Walker,Mike Conley,MIN,328,12
Anthony Edwards,Jaden McDaniels,MIN,327,62
Anthony Edwards,Rudy Gobert,MIN,295,47
Rudy Gobert,Nickeil Alexander-Walker,MIN,287,14
Kyle Anderson,Karl-Anthony Towns,MIN,283,53
Nickeil Alexander-Walker,Karl-Anthony Towns,MIN,279,37
Mike Conley,Nickeil Alexander-Walker,MIN,279,25
Naz Reid,Kyle Anderson,MIN,266,7
Nickeil Alexander-Walker,Naz Reid,MIN,265,42
Karl-Anthony Towns,Nickeil Alexander-Walker,MIN,239,17
Jaden McDaniels,Anthony Edwards,MIN,231,14
Naz Reid,Jordan McLaughlin,MIN,196,8
Karl-Anthony Towns,Kyle Anderson,MIN,192,11
Karl-Anthony Towns,Rudy Gobert,MIN,177,66
Jaden McDaniels,Rudy Gobert,MIN,174,14
Jaden McDaniels,Karl-Anthony Towns,MIN,169,22
Jordan McLaughlin,Mike Conley,MIN,169,9
Rudy Gobert,Kyle Anderson,MIN,169,3
Jordan McLaughlin,Naz Reid,MIN,166,31
Jordan McLaughlin,Kyle Anderson,MIN,158,9
Jaden McDaniels,Nickeil Alexander-Walker,MIN,158,9
Jordan McLaughlin,Nickeil Alexander-Walker,MIN,154,11
Nickeil Alexander-Walker,Jaden McDaniels,MIN,153,12
Nickeil Alexander-Walker,Rudy Gobert,MIN,142,14
Kyle Anderson,Rudy Gobert,MIN,142,37
Kyle Anderson,Jaden McDaniels,MIN,139,30
Nickeil Alexander-Walker,Jordan McLaughlin,MIN,137,6
Mike Conley,Jordan McLaughlin,MIN,127,10
Jaden McDaniels,Naz Reid,MIN,127,18
Karl-Anthony Towns,Jaden McDaniels,MIN,121,18
Jordan McLaughlin,Anthony Edwards,MIN,121,8
Rudy Gobert,Jaden McDaniels,MIN,120,14
Kyle Anderson,Jordan McLaughlin,MIN,119,18
Naz Reid,Jaden McDaniels,MIN,106,17
Rudy Gobert,Jordan McLaughlin,MIN,99,4
Rudy Gobert,Karl-Anthony Towns,MIN,93,7
Jaden McDaniels,Kyle Anderson,MIN,90,3
Anthony Edwards,Jordan McLaughlin,MIN,84,7
Jordan McLaughlin,Karl-Anthony Towns,MIN,80,15
Karl-Anthony Towns,Naz Reid,MIN,79,12
Jordan McLaughlin,Jaden McDaniels,MIN,72,8
Jaden McDaniels,Jordan McLaughlin,MIN,70,1
Rudy Gobert,Naz Reid,MIN,65,6
Karl-Anthony Towns,Jordan McLaughlin,MIN,55,1
Naz Reid,Karl-Anthony Towns,MIN,51,7
Jordan McLaughlin,Rudy Gobert,MIN,39,3
Naz Reid,Rudy Gobert,MIN,39,6
Nickeil Alexander-Walker,T.J. Warren,MIN,19,1
T.J. Warren,Nickeil Alexander-Walker,MIN,17,1
T.J. Warren,Anthony Edwards,MIN,15,3
Anthony Edwards,T.J. Warren,MIN,13,1
T.J. Warren,Naz Reid,MIN,13,0
Jordan McLaughlin,T.J. Warren,MIN,12,2
Mike Conley,T.J. Warren,MIN,10,1
T.J. Warren,Jordan McLaughlin,MIN,10,1
Naz Reid,T.J. Warren,MIN,9,2
T.J. Warren,Mike Conley,MIN,7,0
Kyle Anderson,T.J. Warren,MIN,5,0
T.J. Warren,Rudy Gobert,MIN,5,0
Jaden McDaniels,T.J. Warren,MIN,4,2
T.J. Warren,Kyle Anderson,MIN,4,0
Rudy Gobert,T.J. Warren,MIN,1,0
T.J. Warren,Jaden McDaniels,MIN,1,0
