Passer,Receiver,Team,Passes,Assists
Jonas Valančiūnas,CJ McCollum,NOP,757,33
CJ McCollum,Zion Williamson,NOP,670,61
Jonas Valančiūnas,Brandon Ingram,NOP,627,36
Zion Williamson,CJ McCollum,NOP,620,64
CJ McCollum,Jonas Valančiūnas,NOP,572,72
CJ McCollum,Brandon Ingram,NOP,535,33
Herbert Jones,CJ McCollum,NOP,516,32
Herbert Jones,Brandon Ingram,NOP,445,28
Brandon Ingram,CJ McCollum,NOP,439,49
Brandon Ingram,Herbert Jones,NOP,391,60
Brandon Ingram,Jonas Valančiūnas,NOP,391,50
Jonas Valančiūnas,Zion Williamson,NOP,390,22
Herbert Jones,Zion Williamson,NOP,371,39
CJ McCollum,Herbert Jones,NOP,346,35
Brandon Ingram,Zion Williamson,NOP,340,57
Zion Williamson,Herbert Jones,NOP,331,49
Herbert Jones,Jonas Valančiūnas,NOP,322,31
Zion Williamson,Brandon Ingram,NOP,315,35
Zion Williamson,Trey Murphy III,NOP,310,50
Jonas Valančiūnas,Herbert Jones,NOP,296,22
Trey Murphy III,CJ McCollum,NOP,296,22
Larry Nance Jr.,CJ McCollum,NOP,290,25
Dyson Daniels,Brandon Ingram,NOP,278,25
Jonas Valančiūnas,Dyson Daniels,NOP,277,14
Larry Nance Jr.,Zion Williamson,NOP,271,12
Trey Murphy III,Zion Williamson,NOP,269,20
Dyson Daniels,Zion Williamson,NOP,261,26
Dyson Daniels,Jonas Valančiūnas,NOP,260,26
Dyson Daniels,CJ McCollum,NOP,259,13
Larry Nance Jr.,Brandon Ingram,NOP,245,20
CJ McCollum,Trey Murphy III,NOP,238,37
Naji Marshall,Zion Williamson,NOP,228,25
CJ McCollum,Larry Nance Jr.,NOP,227,20
Naji Marshall,Brandon Ingram,NOP,225,19
Zion Williamson,Dyson Daniels,NOP,224,18
Brandon Ingram,Trey Murphy III,NOP,221,34
Zion Williamson,Jonas Valančiūnas,NOP,206,40
Trey Murphy III,Brandon Ingram,NOP,206,19
Naji Marshall,CJ McCollum,NOP,195,8
Herbert Jones,Trey Murphy III,NOP,180,29
Brandon Ingram,Naji Marshall,NOP,180,20
Brandon Ingram,Dyson Daniels,NOP,180,13
Trey Murphy III,Herbert Jones,NOP,160,12
Dyson Daniels,Herbert Jones,NOP,158,11
Zion Williamson,Jordan Hawkins,NOP,155,24
Zion Williamson,Naji Marshall,NOP,149,17
Herbert Jones,Dyson Daniels,NOP,146,2
Dyson Daniels,Larry Nance Jr.,NOP,144,13
Naji Marshall,Jonas Valančiūnas,NOP,141,8
Jonas Valančiūnas,Naji Marshall,NOP,141,6
Trey Murphy III,Jonas Valančiūnas,NOP,139,11
Zion Williamson,Larry Nance Jr.,NOP,135,20
Jordan Hawkins,Dyson Daniels,NOP,135,10
Brandon Ingram,Jordan Hawkins,NOP,134,23
Dyson Daniels,Jordan Hawkins,NOP,133,17
Brandon Ingram,Larry Nance Jr.,NOP,131,20
Larry Nance Jr.,Trey Murphy III,NOP,130,18
Jonas Valančiūnas,Trey Murphy III,NOP,129,7
CJ McCollum,Dyson Daniels,NOP,127,8
Trey Murphy III,Naji Marshall,NOP,119,11
Larry Nance Jr.,Dyson Daniels,NOP,117,7
Jordan Hawkins,Naji Marshall,NOP,111,9
CJ McCollum,Naji Marshall,NOP,110,14
Jordan Hawkins,Brandon Ingram,NOP,107,4
Naji Marshall,Trey Murphy III,NOP,104,16
Herbert Jones,Larry Nance Jr.,NOP,103,8
Trey Murphy III,Larry Nance Jr.,NOP,99,10
Larry Nance Jr.,Herbert Jones,NOP,99,8
Jonas Valančiūnas,Jordan Hawkins,NOP,99,16
Naji Marshall,Jordan Hawkins,NOP,98,12
Dyson Daniels,Naji Marshall,NOP,98,10
Dyson Daniels,Trey Murphy III,NOP,97,11
Naji Marshall,Dyson Daniels,NOP,96,7
Herbert Jones,Naji Marshall,NOP,95,5
Jordan Hawkins,Zion Williamson,NOP,94,9
Trey Murphy III,Dyson Daniels,NOP,91,5
Naji Marshall,Herbert Jones,NOP,89,4
Naji Marshall,Larry Nance Jr.,NOP,87,3
Jordan Hawkins,CJ McCollum,NOP,87,5
Larry Nance Jr.,Naji Marshall,NOP,85,4
Larry Nance Jr.,Jordan Hawkins,NOP,83,11
Herbert Jones,Jordan Hawkins,NOP,81,14
Jordan Hawkins,Jonas Valančiūnas,NOP,80,6
Jordan Hawkins,Herbert Jones,NOP,71,6
CJ McCollum,Jordan Hawkins,NOP,62,7
Jordan Hawkins,Larry Nance Jr.,NOP,54,6
Jordan Hawkins,Trey Murphy III,NOP,30,3
Trey Murphy III,Jordan Hawkins,NOP,28,5
Larry Nance Jr.,Jonas Valančiūnas,NOP,1,0
