Passer,Receiver,Team,Passes,Assists
Josh Hart,Jalen Brunson,NYK,1085,65
Isaiah Hartenstein,Jalen Brunson,NYK,933,34
Donte DiVincenzo,Jalen Brunson,NYK,930,49
Jalen Brunson,Julius Randle,NYK,900,87
Julius Randle,Jalen Brunson,NYK,874,53
Jalen Brunson,Donte DiVincenzo,NYK,862,121
Jalen Brunson,Josh Hart,NYK,821,68
Josh Hart,Donte DiVincenzo,NYK,477,67
Jalen Brunson,Isaiah Hartenstein,NYK,424,59
Josh Hart,Miles McBride,NYK,396,30
Donte DiVincenzo,Josh Hart,NYK,372,29
Isaiah Hartenstein,Josh Hart,NYK,355,29
Isaiah Hartenstein,Donte DiVincenzo,NYK,342,42
Mitchell Robinson,Jalen Brunson,NYK,337,7
Miles McBride,Josh Hart,NYK,317,15
Josh Hart,Isaiah Hartenstein,NYK,298,29
Josh Hart,Julius Randle,NYK,276,21
Donte DiVincenzo,Isaiah Hartenstein,NYK,272,27
Julius Randle,Donte DiVincenzo,NYK,259,45
Donte DiVincenzo,Miles McBride,NYK,256,18
Miles McBride,Donte DiVincenzo,NYK,252,29
Donte DiVincenzo,Julius Randle,NYK,230,24
Isaiah Hartenstein,Miles McBride,NYK,207,16
OG Anunoby,Jalen Brunson,NYK,198,4
Isaiah Hartenstein,Julius Randle,NYK,190,17
Miles McBride,Jalen Brunson,NYK,171,4
Jalen Brunson,Miles McBride,NYK,156,26
Miles McBride,Isaiah Hartenstein,NYK,155,9
Julius Randle,Josh Hart,NYK,150,20
Miles McBride,Bojan Bogdanović,NYK,149,20
Jalen Brunson,OG Anunoby,NYK,142,27
Miles McBride,Julius Randle,NYK,116,7
Josh Hart,Bojan Bogdanović,NYK,112,23
Julius Randle,Isaiah Hartenstein,NYK,110,2
Mitchell Robinson,Julius Randle,NYK,109,2
Jalen Brunson,Mitchell Robinson,NYK,108,8
Miles McBride,Alec Burks,NYK,104,2
Bojan Bogdanović,Miles McBride,NYK,88,11
Josh Hart,OG Anunoby,NYK,87,9
Jalen Brunson,Bojan Bogdanović,NYK,84,10
Julius Randle,OG Anunoby,NYK,80,17
Alec Burks,Miles McBride,NYK,78,3
Julius Randle,Miles McBride,NYK,75,10
OG Anunoby,Julius Randle,NYK,74,4
Bojan Bogdanović,Jalen Brunson,NYK,73,0
Julius Randle,Mitchell Robinson,NYK,72,12
Josh Hart,Alec Burks,NYK,70,7
Isaiah Hartenstein,OG Anunoby,NYK,69,9
Donte DiVincenzo,OG Anunoby,NYK,69,19
Bojan Bogdanović,Josh Hart,NYK,67,4
Alec Burks,Jalen Brunson,NYK,65,3
OG Anunoby,Josh Hart,NYK,65,4
Alec Burks,Bojan Bogdanović,NYK,63,9
OG Anunoby,Donte DiVincenzo,NYK,61,8
Jalen Brunson,Alec Burks,NYK,54,7
Donte DiVincenzo,Bojan Bogdanović,NYK,54,10
Bojan Bogdanović,Donte DiVincenzo,NYK,53,4
Mitchell Robinson,Josh Hart,NYK,52,0
Isaiah Hartenstein,Bojan Bogdanović,NYK,48,10
OG Anunoby,Isaiah Hartenstein,NYK,47,7
Alec Burks,Josh Hart,NYK,47,1
Bojan Bogdanović,Alec Burks,NYK,44,3
Miles McBride,OG Anunoby,NYK,42,4
OG Anunoby,Miles McBride,NYK,41,5
Donte DiVincenzo,Alec Burks,NYK,33,1
Josh Hart,Mitchell Robinson,NYK,28,3
Mitchell Robinson,Donte DiVincenzo,NYK,27,1
Donte DiVincenzo,Mitchell Robinson,NYK,25,4
Alec Burks,Isaiah Hartenstein,NYK,22,1
Alec Burks,Donte DiVincenzo,NYK,21,1
Bojan Bogdanović,Isaiah Hartenstein,NYK,21,1
Isaiah Hartenstein,Alec Burks,NYK,21,2
Mitchell Robinson,Miles McBride,NYK,17,0
Miles McBride,Mitchell Robinson,NYK,8,0
Mitchell Robinson,Bojan Bogdanović,NYK,8,2
Bojan Bogdanović,Mitchell Robinson,NYK,7,0
Bojan Bogdanović,OG Anunoby,NYK,4,1
OG Anunoby,Bojan Bogdanović,NYK,4,0
OG Anunoby,Alec Burks,NYK,4,0
Alec Burks,Mitchell Robinson,NYK,3,0
Alec Burks,OG Anunoby,NYK,2,0
OG Anunoby,Mitchell Robinson,NYK,1,0
Jalen Brunson,Jalen Brunson,NYK,1,0
Mitchell Robinson,Alec Burks,NYK,1,0
