Passer,Receiver,Team,Passes,Assists
Chet Holmgren,Shai Gilgeous-Alexander,OKC,943,29
Chet Holmgren,Jalen Williams,OKC,831,38
Josh Giddey,Shai Gilgeous-Alexander,OKC,771,56
Josh Giddey,Jalen Williams,OKC,753,71
Chet Holmgren,Josh Giddey,OKC,614,36
Jalen Williams,Josh Giddey,OKC,605,52
Josh Giddey,Chet Holmgren,OKC,598,75
Jalen Williams,Chet Holmgren,OKC,582,103
Shai Gilgeous-Alexander,Chet Holmgren,OKC,535,97
Jaylin Williams,Shai Gilgeous-Alexander,OKC,520,14
Shai Gilgeous-Alexander,Jalen Williams,OKC,519,67
Shai Gilgeous-Alexander,Josh Giddey,OKC,513,75
Jalen Williams,Shai Gilgeous-Alexander,OKC,507,31
Isaiah Joe,Shai Gilgeous-Alexander,OKC,408,11
Shai Gilgeous-Alexander,Isaiah Joe,OKC,372,52
Josh Giddey,Luguentz Dort,OKC,369,59
Luguentz Dort,Shai Gilgeous-Alexander,OKC,353,16
Shai Gilgeous-Alexander,Luguentz Dort,OKC,345,48
Luguentz Dort,Josh Giddey,OKC,295,26
Shai Gilgeous-Alexander,Jaylin Williams,OKC,262,27
Cason Wallace,Shai Gilgeous-Alexander,OKC,241,12
Kenrich Williams,Shai Gilgeous-Alexander,OKC,234,6
Chet Holmgren,Luguentz Dort,OKC,226,32
Jalen Williams,Luguentz Dort,OKC,223,35
Luguentz Dort,Jalen Williams,OKC,208,11
Shai Gilgeous-Alexander,Cason Wallace,OKC,193,34
Jaylin Williams,Isaiah Joe,OKC,191,28
Josh Giddey,Cason Wallace,OKC,185,33
Aaron Wiggins,Jalen Williams,OKC,182,10
Isaiah Joe,Jaylin Williams,OKC,171,14
Jaylin Williams,Josh Giddey,OKC,170,9
Luguentz Dort,Chet Holmgren,OKC,170,20
Aaron Wiggins,Shai Gilgeous-Alexander,OKC,168,5
Jaylin Williams,Jalen Williams,OKC,167,8
Jalen Williams,Isaiah Joe,OKC,163,17
Josh Giddey,Aaron Wiggins,OKC,162,29
Aaron Wiggins,Josh Giddey,OKC,160,10
Cason Wallace,Josh Giddey,OKC,151,14
Shai Gilgeous-Alexander,Kenrich Williams,OKC,149,25
Cason Wallace,Jalen Williams,OKC,149,16
Josh Giddey,Jaylin Williams,OKC,140,11
Jalen Williams,Aaron Wiggins,OKC,138,24
Chet Holmgren,Cason Wallace,OKC,138,20
Isaiah Joe,Jalen Williams,OKC,137,7
Kenrich Williams,Jalen Williams,OKC,131,8
Chet Holmgren,Isaiah Joe,OKC,125,16
Jalen Williams,Cason Wallace,OKC,125,21
Josh Giddey,Isaiah Joe,OKC,123,17
Cason Wallace,Chet Holmgren,OKC,120,19
Isaiah Joe,Chet Holmgren,OKC,116,9
Jaylin Williams,Luguentz Dort,OKC,109,13
Shai Gilgeous-Alexander,Aaron Wiggins,OKC,108,21
Chet Holmgren,Aaron Wiggins,OKC,100,13
Jalen Williams,Kenrich Williams,OKC,99,9
Jalen Williams,Jaylin Williams,OKC,99,6
Kenrich Williams,Cason Wallace,OKC,95,10
Aaron Wiggins,Chet Holmgren,OKC,94,15
Isaiah Joe,Josh Giddey,OKC,93,8
Isaiah Joe,Luguentz Dort,OKC,90,11
Josh Giddey,Kenrich Williams,OKC,90,18
Kenrich Williams,Josh Giddey,OKC,90,5
Kenrich Williams,Isaiah Joe,OKC,90,16
Jaylin Williams,Aaron Wiggins,OKC,85,9
Cason Wallace,Isaiah Joe,OKC,82,14
Luguentz Dort,Isaiah Joe,OKC,79,12
Jaylin Williams,Cason Wallace,OKC,77,8
Isaiah Joe,Cason Wallace,OKC,74,11
Cason Wallace,Kenrich Williams,OKC,73,12
Aaron Wiggins,Cason Wallace,OKC,73,5
Kenrich Williams,Luguentz Dort,OKC,71,8
Isaiah Joe,Kenrich Williams,OKC,67,7
Cason Wallace,Aaron Wiggins,OKC,64,10
Cason Wallace,Jaylin Williams,OKC,63,6
Aaron Wiggins,Jaylin Williams,OKC,61,6
Luguentz Dort,Jaylin Williams,OKC,61,3
Kenrich Williams,Aaron Wiggins,OKC,59,9
Aaron Wiggins,Luguentz Dort,OKC,54,6
Kenrich Williams,Chet Holmgren,OKC,54,8
Aaron Wiggins,Isaiah Joe,OKC,53,6
Isaiah Joe,Aaron Wiggins,OKC,51,12
Aaron Wiggins,Kenrich Williams,OKC,50,4
Cason Wallace,Luguentz Dort,OKC,50,5
Chet Holmgren,Kenrich Williams,OKC,48,6
Jaylin Williams,Kenrich Williams,OKC,40,4
Luguentz Dort,Kenrich Williams,OKC,39,7
Luguentz Dort,Cason Wallace,OKC,35,5
Kenrich Williams,Jaylin Williams,OKC,34,4
Luguentz Dort,Aaron Wiggins,OKC,33,8
Jaylin Williams,Chet Holmgren,OKC,30,9
Chet Holmgren,Jaylin Williams,OKC,21,0
