Passer,Receiver,Team,Passes,Assists
Tyrese Maxey,Joel Embiid,PHI,848,108
Tyrese Maxey,Tobias Harris,PHI,736,67
Tobias Harris,Tyrese Maxey,PHI,712,33
Joel Embiid,Tyrese Maxey,PHI,661,63
Paul Reed,Tyrese Maxey,PHI,521,22
De'Anthony Melton,Tyrese Maxey,PHI,456,19
Kelly Oubre Jr.,Tyrese Maxey,PHI,443,17
Tyrese Maxey,Kelly Oubre Jr.,PHI,390,54
Tyrese Maxey,De'Anthony Melton,PHI,323,21
Kyle Lowry,Tyrese Maxey,PHI,300,19
Buddy Hield,Tyrese Maxey,PHI,292,20
De'Anthony Melton,Joel Embiid,PHI,285,26
Tyrese Maxey,Paul Reed,PHI,284,33
Tobias Harris,Joel Embiid,PHI,244,28
Joel Embiid,Tobias Harris,PHI,233,50
De'Anthony Melton,Tobias Harris,PHI,232,19
Tyrese Maxey,Buddy Hield,PHI,230,32
Tyrese Maxey,Kyle Lowry,PHI,221,9
Tobias Harris,De'Anthony Melton,PHI,220,17
Buddy Hield,Cameron Payne,PHI,190,7
Mo Bamba,Tyrese Maxey,PHI,184,6
Tobias Harris,Kelly Oubre Jr.,PHI,184,33
Joel Embiid,De'Anthony Melton,PHI,178,29
Kyle Lowry,Kelly Oubre Jr.,PHI,173,18
Tobias Harris,Kyle Lowry,PHI,166,4
Cameron Payne,Tobias Harris,PHI,163,7
Cameron Payne,Buddy Hield,PHI,163,17
Paul Reed,Tobias Harris,PHI,156,20
Paul Reed,Cameron Payne,PHI,149,8
Tobias Harris,Paul Reed,PHI,148,19
Kyle Lowry,Tobias Harris,PHI,148,13
Tobias Harris,Cameron Payne,PHI,148,11
Buddy Hield,Kyle Lowry,PHI,139,8
Kelly Oubre Jr.,Tobias Harris,PHI,138,14
Cameron Payne,Kelly Oubre Jr.,PHI,137,21
Paul Reed,Kelly Oubre Jr.,PHI,129,18
Kelly Oubre Jr.,Joel Embiid,PHI,128,8
Kyle Lowry,Buddy Hield,PHI,127,9
Mo Bamba,Kyle Lowry,PHI,125,4
Buddy Hield,Kelly Oubre Jr.,PHI,116,13
Tyrese Maxey,Mo Bamba,PHI,116,11
Kelly Oubre Jr.,Paul Reed,PHI,115,16
Tobias Harris,Buddy Hield,PHI,115,11
Cameron Payne,Tyrese Maxey,PHI,112,6
Paul Reed,Buddy Hield,PHI,111,5
Joel Embiid,Kelly Oubre Jr.,PHI,111,23
Cameron Payne,Paul Reed,PHI,106,14
Kelly Oubre Jr.,Kyle Lowry,PHI,106,4
Kelly Oubre Jr.,Cameron Payne,PHI,103,2
Tyrese Maxey,Cameron Payne,PHI,96,11
Kelly Oubre Jr.,Buddy Hield,PHI,87,8
Buddy Hield,Paul Reed,PHI,81,14
Kyle Lowry,Cameron Payne,PHI,79,5
Buddy Hield,Tobias Harris,PHI,77,8
Kyle Lowry,Mo Bamba,PHI,76,9
Mo Bamba,Tobias Harris,PHI,74,4
Tobias Harris,Mo Bamba,PHI,70,7
Paul Reed,De'Anthony Melton,PHI,69,1
Cameron Payne,Kyle Lowry,PHI,65,2
Mo Bamba,Cameron Payne,PHI,61,4
Kelly Oubre Jr.,De'Anthony Melton,PHI,61,3
De'Anthony Melton,Paul Reed,PHI,59,10
De'Anthony Melton,Kelly Oubre Jr.,PHI,57,8
Paul Reed,Kyle Lowry,PHI,56,1
Kelly Oubre Jr.,Mo Bamba,PHI,51,8
Mo Bamba,Kelly Oubre Jr.,PHI,47,5
Cameron Payne,Joel Embiid,PHI,36,6
Kyle Lowry,Joel Embiid,PHI,34,6
Kyle Lowry,Paul Reed,PHI,34,8
Cameron Payne,Mo Bamba,PHI,34,4
Mo Bamba,Buddy Hield,PHI,30,3
Joel Embiid,Kyle Lowry,PHI,27,2
Buddy Hield,Mo Bamba,PHI,23,2
Mo Bamba,De'Anthony Melton,PHI,21,4
De'Anthony Melton,Mo Bamba,PHI,20,4
Buddy Hield,Joel Embiid,PHI,17,0
Joel Embiid,Cameron Payne,PHI,17,1
Joel Embiid,Buddy Hield,PHI,14,2
Cameron Payne,De'Anthony Melton,PHI,12,1
Kyle Lowry,De'Anthony Melton,PHI,11,2
De'Anthony Melton,Kyle Lowry,PHI,10,2
Buddy Hield,De'Anthony Melton,PHI,10,0
De'Anthony Melton,Cameron Payne,PHI,9,0
Mo Bamba,Paul Reed,PHI,5,2
De'Anthony Melton,Buddy Hield,PHI,4,0
Paul Reed,Mo Bamba,PHI,3,0
Paul Reed,Joel Embiid,PHI,3,1
