Passer,Receiver,Team,Passes,Assists
Domantas Sabonis,De'Aaron Fox,SAC,1681,89
De'Aaron Fox,Domantas Sabonis,SAC,987,77
Keegan Murray,Domantas Sabonis,SAC,950,41
Domantas Sabonis,Malik Monk,SAC,933,83
Domantas Sabonis,Keegan Murray,SAC,818,185
Domantas Sabonis,Kevin Huerter,SAC,743,102
Malik Monk,Domantas Sabonis,SAC,686,109
Harrison Barnes,De'Aaron Fox,SAC,650,16
Malik Monk,De'Aaron Fox,SAC,606,43
Kevin Huerter,Domantas Sabonis,SAC,587,63
De'Aaron Fox,Malik Monk,SAC,564,44
Domantas Sabonis,Harrison Barnes,SAC,530,110
De'Aaron Fox,Keegan Murray,SAC,506,72
Harrison Barnes,Domantas Sabonis,SAC,501,32
De'Aaron Fox,Harrison Barnes,SAC,493,51
Domantas Sabonis,Davion Mitchell,SAC,484,29
Davion Mitchell,Domantas Sabonis,SAC,448,26
Keegan Murray,De'Aaron Fox,SAC,435,21
Trey Lyles,De'Aaron Fox,SAC,425,10
De'Aaron Fox,Kevin Huerter,SAC,369,47
Keon Ellis,Domantas Sabonis,SAC,343,18
Kevin Huerter,De'Aaron Fox,SAC,342,15
Domantas Sabonis,Keon Ellis,SAC,325,26
Davion Mitchell,Malik Monk,SAC,316,22
Trey Lyles,Malik Monk,SAC,289,10
De'Aaron Fox,Trey Lyles,SAC,284,33
Malik Monk,Davion Mitchell,SAC,223,19
Kevin Huerter,Harrison Barnes,SAC,184,21
Chris Duarte,Domantas Sabonis,SAC,184,15
Keon Ellis,De'Aaron Fox,SAC,180,12
Malik Monk,Trey Lyles,SAC,179,34
De'Aaron Fox,Keon Ellis,SAC,176,20
Harrison Barnes,Davion Mitchell,SAC,169,5
Keegan Murray,Malik Monk,SAC,166,15
Keon Ellis,Malik Monk,SAC,160,17
Kevin Huerter,Keegan Murray,SAC,158,23
Malik Monk,Keegan Murray,SAC,155,27
Harrison Barnes,Malik Monk,SAC,155,6
Trey Lyles,Davion Mitchell,SAC,154,7
Keegan Murray,Harrison Barnes,SAC,152,10
Domantas Sabonis,Chris Duarte,SAC,147,14
Harrison Barnes,Kevin Huerter,SAC,146,12
Harrison Barnes,Keegan Murray,SAC,146,18
Malik Monk,Harrison Barnes,SAC,146,33
De'Aaron Fox,Chris Duarte,SAC,143,14
Trey Lyles,Domantas Sabonis,SAC,140,8
Davion Mitchell,Keegan Murray,SAC,140,13
Kevin Huerter,Malik Monk,SAC,138,12
Keegan Murray,Davion Mitchell,SAC,132,4
Chris Duarte,De'Aaron Fox,SAC,130,6
Davion Mitchell,Harrison Barnes,SAC,128,20
Keon Ellis,Keegan Murray,SAC,121,11
De'Aaron Fox,Davion Mitchell,SAC,120,10
Domantas Sabonis,Trey Lyles,SAC,114,21
Keegan Murray,Kevin Huerter,SAC,111,21
Harrison Barnes,Keon Ellis,SAC,110,4
Davion Mitchell,De'Aaron Fox,SAC,105,8
Keon Ellis,Harrison Barnes,SAC,105,6
Kevin Huerter,Davion Mitchell,SAC,104,9
Malik Monk,Kevin Huerter,SAC,104,14
Malik Monk,Keon Ellis,SAC,102,11
Davion Mitchell,Kevin Huerter,SAC,96,6
Keegan Murray,Keon Ellis,SAC,95,4
Davion Mitchell,Trey Lyles,SAC,86,13
Chris Duarte,Malik Monk,SAC,80,3
Keon Ellis,Kevin Huerter,SAC,68,5
Malik Monk,Chris Duarte,SAC,68,14
Trey Lyles,Keon Ellis,SAC,67,8
Chris Duarte,Davion Mitchell,SAC,56,0
Kevin Huerter,Keon Ellis,SAC,52,1
Kevin Huerter,Trey Lyles,SAC,49,7
Davion Mitchell,Keon Ellis,SAC,49,1
Keegan Murray,Trey Lyles,SAC,48,4
Keon Ellis,Davion Mitchell,SAC,47,4
Davion Mitchell,Chris Duarte,SAC,45,2
Trey Lyles,Keegan Murray,SAC,45,6
Trey Lyles,Kevin Huerter,SAC,41,3
Keegan Murray,Chris Duarte,SAC,38,3
Chris Duarte,Keegan Murray,SAC,34,5
Keon Ellis,Trey Lyles,SAC,34,2
Harrison Barnes,Chris Duarte,SAC,28,2
Chris Duarte,Harrison Barnes,SAC,26,3
Harrison Barnes,Trey Lyles,SAC,19,2
Trey Lyles,Harrison Barnes,SAC,19,3
Chris Duarte,Trey Lyles,SAC,18,1
Keon Ellis,Chris Duarte,SAC,15,1
Chris Duarte,Keon Ellis,SAC,14,1
Kevin Huerter,Chris Duarte,SAC,11,1
Chris Duarte,Kevin Huerter,SAC,10,0
Trey Lyles,Chris Duarte,SAC,8,3
