Passer,Receiver,Team,Passes,Assists
Tre Jones,Devin Vassell,SAS,808,89
Tre Jones,Victor Wembanyama,SAS,765,105
Victor Wembanyama,Tre Jones,SAS,662,42
Keldon Johnson,Tre Jones,SAS,526,8
Jeremy Sochan,Tre Jones,SAS,520,16
Devin Vassell,Tre Jones,SAS,488,24
Devin Vassell,Victor Wembanyama,SAS,469,87
Jeremy Sochan,Devin Vassell,SAS,432,54
Victor Wembanyama,Devin Vassell,SAS,426,50
Tre Jones,Jeremy Sochan,SAS,423,42
Julian Champagnie,Tre Jones,SAS,420,11
Devin Vassell,Jeremy Sochan,SAS,413,40
Tre Jones,Keldon Johnson,SAS,378,44
Jeremy Sochan,Victor Wembanyama,SAS,369,48
Zach Collins,Tre Jones,SAS,348,15
Victor Wembanyama,Jeremy Sochan,SAS,328,43
Tre Jones,Zach Collins,SAS,324,39
Keldon Johnson,Jeremy Sochan,SAS,320,26
Jeremy Sochan,Keldon Johnson,SAS,314,25
Jeremy Sochan,Zach Collins,SAS,311,36
Malaki Branham,Victor Wembanyama,SAS,309,38
Tre Jones,Julian Champagnie,SAS,303,40
Zach Collins,Devin Vassell,SAS,294,48
Devin Vassell,Zach Collins,SAS,290,28
Jeremy Sochan,Malaki Branham,SAS,265,24
Zach Collins,Jeremy Sochan,SAS,259,22
Cedi Osman,Tre Jones,SAS,255,10
Keldon Johnson,Malaki Branham,SAS,253,22
Victor Wembanyama,Malaki Branham,SAS,252,33
Tre Jones,Malaki Branham,SAS,244,28
Malaki Branham,Jeremy Sochan,SAS,243,15
Devin Vassell,Keldon Johnson,SAS,237,34
Tre Jones,Cedi Osman,SAS,236,33
Keldon Johnson,Devin Vassell,SAS,235,20
Keldon Johnson,Blake Wesley,SAS,221,7
Zach Collins,Keldon Johnson,SAS,219,34
Malaki Branham,Devin Vassell,SAS,203,18
Blake Wesley,Keldon Johnson,SAS,203,24
Malaki Branham,Keldon Johnson,SAS,200,23
Keldon Johnson,Victor Wembanyama,SAS,194,35
Keldon Johnson,Zach Collins,SAS,193,26
Victor Wembanyama,Keldon Johnson,SAS,193,15
Malaki Branham,Tre Jones,SAS,190,7
Devin Vassell,Malaki Branham,SAS,183,20
Malaki Branham,Zach Collins,SAS,181,20
Julian Champagnie,Victor Wembanyama,SAS,177,17
Zach Collins,Blake Wesley,SAS,173,3
Blake Wesley,Devin Vassell,SAS,169,14
Keldon Johnson,Cedi Osman,SAS,166,26
Victor Wembanyama,Julian Champagnie,SAS,162,24
Julian Champagnie,Jeremy Sochan,SAS,161,11
Blake Wesley,Zach Collins,SAS,160,17
Zach Collins,Malaki Branham,SAS,144,12
Blake Wesley,Malaki Branham,SAS,130,17
Cedi Osman,Keldon Johnson,SAS,127,21
Cedi Osman,Devin Vassell,SAS,126,13
Devin Vassell,Julian Champagnie,SAS,125,14
Cedi Osman,Malaki Branham,SAS,121,11
Cedi Osman,Blake Wesley,SAS,120,6
Malaki Branham,Blake Wesley,SAS,116,3
Blake Wesley,Victor Wembanyama,SAS,114,13
Victor Wembanyama,Blake Wesley,SAS,114,8
Zach Collins,Victor Wembanyama,SAS,114,18
Devin Vassell,Cedi Osman,SAS,112,9
Julian Champagnie,Devin Vassell,SAS,111,11
Victor Wembanyama,Cedi Osman,SAS,109,22
Jeremy Sochan,Blake Wesley,SAS,107,5
Jeremy Sochan,Julian Champagnie,SAS,107,14
Devin Vassell,Blake Wesley,SAS,102,6
Cedi Osman,Victor Wembanyama,SAS,101,22
Julian Champagnie,Blake Wesley,SAS,97,2
Julian Champagnie,Malaki Branham,SAS,94,8
Blake Wesley,Cedi Osman,SAS,92,13
Cedi Osman,Jeremy Sochan,SAS,91,3
Zach Collins,Cedi Osman,SAS,88,13
Cedi Osman,Zach Collins,SAS,86,14
Jeremy Sochan,Cedi Osman,SAS,81,8
Blake Wesley,Julian Champagnie,SAS,78,14
Blake Wesley,Jeremy Sochan,SAS,76,16
Victor Wembanyama,Zach Collins,SAS,73,15
Malaki Branham,Cedi Osman,SAS,69,6
Julian Champagnie,Zach Collins,SAS,67,9
Zach Collins,Julian Champagnie,SAS,67,11
Malaki Branham,Julian Champagnie,SAS,57,4
Julian Champagnie,Keldon Johnson,SAS,49,6
Blake Wesley,Tre Jones,SAS,48,1
Keldon Johnson,Julian Champagnie,SAS,45,8
Tre Jones,Blake Wesley,SAS,35,3
Julian Champagnie,Cedi Osman,SAS,24,6
Cedi Osman,Julian Champagnie,SAS,21,2
