Passer,Receiver,Team,Passes,Assists
Immanuel Quickley,RJ Barrett,TOR,400,61
RJ Barrett,Immanuel Quickley,TOR,343,24
Scottie Barnes,Immanuel Quickley,TOR,341,27
Jakob Poeltl,Scottie Barnes,TOR,340,24
Immanuel Quickley,Scottie Barnes,TOR,330,27
Kelly Olynyk,Immanuel Quickley,TOR,284,12
Jakob Poeltl,Immanuel Quickley,TOR,279,10
Scottie Barnes,Jakob Poeltl,TOR,268,46
Scottie Barnes,Gary Trent Jr.,TOR,239,38
Immanuel Quickley,Gary Trent Jr.,TOR,215,43
Immanuel Quickley,Kelly Olynyk,TOR,210,18
Scottie Barnes,RJ Barrett,TOR,174,27
Gary Trent Jr.,Immanuel Quickley,TOR,169,7
Gary Trent Jr.,Scottie Barnes,TOR,164,12
RJ Barrett,Scottie Barnes,TOR,160,18
Immanuel Quickley,Jakob Poeltl,TOR,155,26
Bruce Brown,Kelly Olynyk,TOR,153,11
Kelly Olynyk,Gary Trent Jr.,TOR,153,26
Kelly Olynyk,Bruce Brown,TOR,148,16
Kelly Olynyk,RJ Barrett,TOR,131,17
Immanuel Quickley,Gradey Dick,TOR,113,25
Kelly Olynyk,Ochai Agbaji,TOR,111,13
Bruce Brown,Scottie Barnes,TOR,108,5
RJ Barrett,Kelly Olynyk,TOR,108,10
Ochai Agbaji,Immanuel Quickley,TOR,108,1
Gary Trent Jr.,Kelly Olynyk,TOR,108,14
Jakob Poeltl,Gary Trent Jr.,TOR,103,7
Bruce Brown,Immanuel Quickley,TOR,101,3
Ochai Agbaji,Kelly Olynyk,TOR,100,11
Scottie Barnes,Bruce Brown,TOR,98,11
Scottie Barnes,Chris Boucher,TOR,97,23
Scottie Barnes,Gradey Dick,TOR,97,16
Chris Boucher,Scottie Barnes,TOR,89,5
Bruce Brown,Gradey Dick,TOR,88,19
Immanuel Quickley,Bruce Brown,TOR,88,10
Jakob Poeltl,RJ Barrett,TOR,84,10
Kelly Olynyk,Gradey Dick,TOR,84,21
Kelly Olynyk,Scottie Barnes,TOR,83,1
RJ Barrett,Jakob Poeltl,TOR,82,13
Gradey Dick,Immanuel Quickley,TOR,81,0
RJ Barrett,Gary Trent Jr.,TOR,79,20
Bruce Brown,Gary Trent Jr.,TOR,78,12
Gradey Dick,Kelly Olynyk,TOR,76,4
Scottie Barnes,Kelly Olynyk,TOR,71,7
Immanuel Quickley,Ochai Agbaji,TOR,69,5
Gary Trent Jr.,Jakob Poeltl,TOR,65,7
Gradey Dick,Bruce Brown,TOR,65,10
Gradey Dick,Scottie Barnes,TOR,64,8
Gary Trent Jr.,RJ Barrett,TOR,59,9
RJ Barrett,Bruce Brown,TOR,59,11
Bruce Brown,RJ Barrett,TOR,57,6
Ochai Agbaji,Bruce Brown,TOR,56,3
Gary Trent Jr.,Bruce Brown,TOR,51,5
RJ Barrett,Gradey Dick,TOR,50,12
Gradey Dick,Ochai Agbaji,TOR,40,8
Ochai Agbaji,Gradey Dick,TOR,39,8
Bruce Brown,Ochai Agbaji,TOR,37,6
Gradey Dick,RJ Barrett,TOR,36,7
Gary Trent Jr.,Gradey Dick,TOR,35,7
Gradey Dick,Gary Trent Jr.,TOR,34,4
Scottie Barnes,Ochai Agbaji,TOR,32,7
Chris Boucher,Immanuel Quickley,TOR,30,1
Ochai Agbaji,Gary Trent Jr.,TOR,29,4
Ochai Agbaji,RJ Barrett,TOR,29,4
Chris Boucher,Gary Trent Jr.,TOR,28,0
Ochai Agbaji,Scottie Barnes,TOR,26,1
Jakob Poeltl,Bruce Brown,TOR,24,4
Chris Boucher,Gradey Dick,TOR,23,3
RJ Barrett,Chris Boucher,TOR,23,5
Jakob Poeltl,Gradey Dick,TOR,22,0
RJ Barrett,Ochai Agbaji,TOR,22,0
Immanuel Quickley,Chris Boucher,TOR,19,5
Gary Trent Jr.,Chris Boucher,TOR,19,4
Bruce Brown,Jakob Poeltl,TOR,18,3
Chris Boucher,RJ Barrett,TOR,15,0
Gradey Dick,Chris Boucher,TOR,14,2
Gradey Dick,Jakob Poeltl,TOR,14,1
Gary Trent Jr.,Ochai Agbaji,TOR,14,2
Jakob Poeltl,Ochai Agbaji,TOR,8,4
Jakob Poeltl,Chris Boucher,TOR,7,0
Bruce Brown,Chris Boucher,TOR,5,0
Chris Boucher,Jakob Poeltl,TOR,5,1
Chris Boucher,Bruce Brown,TOR,5,0
Jakob Poeltl,Kelly Olynyk,TOR,3,0
Ochai Agbaji,Jakob Poeltl,TOR,3,0
Chris Boucher,Kelly Olynyk,TOR,3,0
Kelly Olynyk,Chris Boucher,TOR,2,0
Kelly Olynyk,Jakob Poeltl,TOR,2,0
Chris Boucher,Ochai Agbaji,TOR,1,0
Ochai Agbaji,Chris Boucher,TOR,1,0
