Passer,Receiver,Team,Passes,Assists
Keyonte George,Jordan Clarkson,UTA,708,43
John Collins,Keyonte George,UTA,634,14
John Collins,Collin Sexton,UTA,505,21
Kris Dunn,Collin Sexton,UTA,496,39
Keyonte George,Collin Sexton,UTA,417,22
Walker Kessler,Keyonte George,UTA,398,14
Jordan Clarkson,Keyonte George,UTA,390,30
Keyonte George,John Collins,UTA,370,48
Lauri Markkanen,Collin Sexton,UTA,361,23
Lauri Markkanen,Keyonte George,UTA,344,12
Collin Sexton,Keyonte George,UTA,329,21
Keyonte George,Lauri Markkanen,UTA,323,60
Collin Sexton,John Collins,UTA,308,83
Collin Sexton,Kris Dunn,UTA,306,15
Collin Sexton,Lauri Markkanen,UTA,295,69
Walker Kessler,Collin Sexton,UTA,272,11
John Collins,Kris Dunn,UTA,272,0
Talen Horton-Tucker,Collin Sexton,UTA,260,24
Walker Kessler,Talen Horton-Tucker,UTA,258,4
Kris Dunn,Lauri Markkanen,UTA,247,48
Lauri Markkanen,Kris Dunn,UTA,235,10
Jordan Clarkson,Lauri Markkanen,UTA,223,62
Kris Dunn,Keyonte George,UTA,214,13
Kris Dunn,John Collins,UTA,213,41
Collin Sexton,Jordan Clarkson,UTA,209,13
Collin Sexton,Talen Horton-Tucker,UTA,206,15
John Collins,Jordan Clarkson,UTA,197,8
Kris Dunn,Jordan Clarkson,UTA,196,15
Taylor Hendricks,Keyonte George,UTA,191,5
Walker Kessler,Kris Dunn,UTA,186,1
Keyonte George,Walker Kessler,UTA,184,20
Talen Horton-Tucker,Lauri Markkanen,UTA,177,28
Walker Kessler,Jordan Clarkson,UTA,177,5
Lauri Markkanen,Talen Horton-Tucker,UTA,175,7
Jordan Clarkson,John Collins,UTA,171,49
Lauri Markkanen,Jordan Clarkson,UTA,164,9
Talen Horton-Tucker,Walker Kessler,UTA,163,27
Talen Horton-Tucker,Jordan Clarkson,UTA,162,12
Jordan Clarkson,Collin Sexton,UTA,153,25
Keyonte George,Kris Dunn,UTA,147,9
John Collins,Talen Horton-Tucker,UTA,143,0
Collin Sexton,Walker Kessler,UTA,137,31
Keyonte George,Taylor Hendricks,UTA,125,18
Lauri Markkanen,John Collins,UTA,117,17
Talen Horton-Tucker,John Collins,UTA,112,22
Talen Horton-Tucker,Keyonte George,UTA,111,4
Kris Dunn,Talen Horton-Tucker,UTA,110,7
Keyonte George,Talen Horton-Tucker,UTA,107,7
Jordan Clarkson,Talen Horton-Tucker,UTA,107,8
Jordan Clarkson,Walker Kessler,UTA,101,34
Keyonte George,Brice Sensabaugh,UTA,100,6
Talen Horton-Tucker,Kris Dunn,UTA,97,4
Jordan Clarkson,Kris Dunn,UTA,93,15
Taylor Hendricks,Collin Sexton,UTA,85,9
Collin Sexton,Taylor Hendricks,UTA,83,20
Brice Sensabaugh,Keyonte George,UTA,80,7
Taylor Hendricks,Kris Dunn,UTA,76,2
John Collins,Lauri Markkanen,UTA,70,15
Kris Dunn,Walker Kessler,UTA,67,13
Kris Dunn,Brice Sensabaugh,UTA,63,7
Lauri Markkanen,Walker Kessler,UTA,63,10
Brice Sensabaugh,Collin Sexton,UTA,62,5
Kris Dunn,Taylor Hendricks,UTA,62,15
Collin Sexton,Brice Sensabaugh,UTA,54,9
Taylor Hendricks,Talen Horton-Tucker,UTA,47,0
Walker Kessler,Lauri Markkanen,UTA,47,7
Talen Horton-Tucker,Brice Sensabaugh,UTA,45,6
Brice Sensabaugh,Kris Dunn,UTA,44,1
Brice Sensabaugh,Talen Horton-Tucker,UTA,40,4
Talen Horton-Tucker,Taylor Hendricks,UTA,35,4
Taylor Hendricks,Brice Sensabaugh,UTA,34,1
Brice Sensabaugh,Taylor Hendricks,UTA,32,9
Taylor Hendricks,John Collins,UTA,26,3
Walker Kessler,John Collins,UTA,26,1
John Collins,Brice Sensabaugh,UTA,25,3
Brice Sensabaugh,Jordan Clarkson,UTA,24,1
Brice Sensabaugh,Walker Kessler,UTA,21,5
Brice Sensabaugh,John Collins,UTA,21,5
Walker Kessler,Brice Sensabaugh,UTA,20,0
Jordan Clarkson,Brice Sensabaugh,UTA,18,3
Taylor Hendricks,Jordan Clarkson,UTA,16,0
John Collins,Walker Kessler,UTA,14,2
Brice Sensabaugh,Lauri Markkanen,UTA,11,4
Walker Kessler,Taylor Hendricks,UTA,10,1
Jordan Clarkson,Taylor Hendricks,UTA,10,2
Lauri Markkanen,Taylor Hendricks,UTA,10,3
Taylor Hendricks,Lauri Markkanen,UTA,9,0
Lauri Markkanen,Brice Sensabaugh,UTA,8,4
John Collins,Taylor Hendricks,UTA,7,1
Taylor Hendricks,Walker Kessler,UTA,6,0
Taylor Hendricks,Taylor Hendricks,UTA,1,0
