Passer,Receiver,Team,Passes,Assists
Dyson Daniels,Trae Young,ATL,1167,33
Jalen Johnson,Trae Young,ATL,1066,20
Trae Young,Dyson Daniels,ATL,821,117
Onyeka Okongwu,Trae Young,ATL,749,29
Zaccharie Risacher,Trae Young,ATL,565,9
Trae Young,Jalen Johnson,ATL,560,95
Trae Young,Onyeka Okongwu,ATL,560,126
Dyson Daniels,Onyeka Okongwu,ATL,509,50
Trae Young,Zaccharie Risacher,ATL,500,100
Clint Capela,Trae Young,ATL,433,16
Onyeka Okongwu,Dyson Daniels,ATL,389,37
Trae Young,Clint Capela,ATL,316,71
Dyson Daniels,Zaccharie Risacher,ATL,307,70
Georges Niang,Trae Young,ATL,300,5
Zaccharie Risacher,Dyson Daniels,ATL,290,14
Vít Krejčí,Trae Young,ATL,277,15
Trae Young,Georges Niang,ATL,259,52
Vít Krejčí,Dyson Daniels,ATL,247,16
Dyson Daniels,Vít Krejčí,ATL,243,20
Jalen Johnson,Dyson Daniels,ATL,219,15
Trae Young,Garrison Mathews,ATL,208,32
Garrison Mathews,Trae Young,ATL,200,6
Trae Young,Vít Krejčí,ATL,199,31
Trae Young,Caris LeVert,ATL,192,48
Dyson Daniels,Jalen Johnson,ATL,181,18
Dyson Daniels,Caris LeVert,ATL,161,15
Dyson Daniels,Clint Capela,ATL,154,32
Georges Niang,Dyson Daniels,ATL,153,7
Jalen Johnson,Zaccharie Risacher,ATL,153,28
Clint Capela,Jalen Johnson,ATL,148,12
Caris LeVert,Trae Young,ATL,146,5
Clint Capela,Dyson Daniels,ATL,139,7
Onyeka Okongwu,Vít Krejčí,ATL,134,10
Onyeka Okongwu,Zaccharie Risacher,ATL,132,17
Jalen Johnson,Clint Capela,ATL,130,35
Jalen Johnson,Vít Krejčí,ATL,128,3
Caris LeVert,Dyson Daniels,ATL,126,8
Jalen Johnson,Onyeka Okongwu,ATL,118,29
Onyeka Okongwu,Jalen Johnson,ATL,113,12
Vít Krejčí,Onyeka Okongwu,ATL,111,17
Vít Krejčí,Jalen Johnson,ATL,108,6
Onyeka Okongwu,Caris LeVert,ATL,106,5
Vít Krejčí,Zaccharie Risacher,ATL,105,13
Zaccharie Risacher,Jalen Johnson,ATL,100,9
Dyson Daniels,Georges Niang,ATL,91,15
Zaccharie Risacher,Vít Krejčí,ATL,88,5
Georges Niang,Caris LeVert,ATL,79,6
Zaccharie Risacher,Onyeka Okongwu,ATL,79,12
Jalen Johnson,Garrison Mathews,ATL,73,14
Caris LeVert,Georges Niang,ATL,72,13
Vít Krejčí,Garrison Mathews,ATL,71,11
Caris LeVert,Onyeka Okongwu,ATL,66,15
Garrison Mathews,Vít Krejčí,ATL,57,2
Dyson Daniels,Garrison Mathews,ATL,56,8
Clint Capela,Vít Krejčí,ATL,55,3
Garrison Mathews,Dyson Daniels,ATL,55,5
Onyeka Okongwu,Garrison Mathews,ATL,52,3
Garrison Mathews,Onyeka Okongwu,ATL,47,9
Vít Krejčí,Clint Capela,ATL,46,2
Onyeka Okongwu,Georges Niang,ATL,46,8
Clint Capela,Zaccharie Risacher,ATL,44,7
Garrison Mathews,Jalen Johnson,ATL,43,7
Zaccharie Risacher,Clint Capela,ATL,41,6
Caris LeVert,Zaccharie Risacher,ATL,38,9
Georges Niang,Onyeka Okongwu,ATL,37,6
Vít Krejčí,Caris LeVert,ATL,36,8
Caris LeVert,Vít Krejčí,ATL,34,11
Zaccharie Risacher,Caris LeVert,ATL,33,3
Clint Capela,Garrison Mathews,ATL,26,1
Garrison Mathews,Clint Capela,ATL,26,2
Garrison Mathews,Zaccharie Risacher,ATL,21,3
Clint Capela,Caris LeVert,ATL,21,2
Zaccharie Risacher,Garrison Mathews,ATL,21,4
Georges Niang,Zaccharie Risacher,ATL,20,6
Georges Niang,Vít Krejčí,ATL,18,3
Vít Krejčí,Georges Niang,ATL,18,10
Caris LeVert,Clint Capela,ATL,16,2
Zaccharie Risacher,Georges Niang,ATL,11,3
Clint Capela,Georges Niang,ATL,10,1
Georges Niang,Clint Capela,ATL,7,1
Garrison Mathews,Caris LeVert,ATL,5,1
Caris LeVert,Garrison Mathews,ATL,2,1
