Passer,Receiver,Team,Passes,Assists
Evan Mobley,Donovan Mitchell,CLE,833,41
Jarrett Allen,Darius Garland,CLE,759,41
Evan Mobley,Darius Garland,CLE,704,25
Darius Garland,Jarrett Allen,CLE,674,138
Donovan Mitchell,Evan Mobley,CLE,532,82
Max Strus,Darius Garland,CLE,479,23
Darius Garland,Evan Mobley,CLE,462,76
Darius Garland,Donovan Mitchell,CLE,447,47
Donovan Mitchell,Darius Garland,CLE,431,49
Dean Wade,Darius Garland,CLE,375,22
Jarrett Allen,Donovan Mitchell,CLE,365,14
Darius Garland,Max Strus,CLE,349,47
Evan Mobley,Ty Jerome,CLE,336,16
Ty Jerome,Evan Mobley,CLE,321,54
Ty Jerome,Donovan Mitchell,CLE,291,21
Max Strus,Donovan Mitchell,CLE,289,21
Dean Wade,Donovan Mitchell,CLE,284,9
Donovan Mitchell,Ty Jerome,CLE,254,16
Ty Jerome,Darius Garland,CLE,251,18
Jarrett Allen,Max Strus,CLE,215,21
Darius Garland,Ty Jerome,CLE,213,31
Darius Garland,Dean Wade,CLE,209,22
Dean Wade,Ty Jerome,CLE,206,7
Max Strus,Jarrett Allen,CLE,199,47
Sam Merrill,Ty Jerome,CLE,197,14
Ty Jerome,Jarrett Allen,CLE,196,31
Donovan Mitchell,Sam Merrill,CLE,196,33
Donovan Mitchell,Jarrett Allen,CLE,196,40
Jarrett Allen,Ty Jerome,CLE,194,12
Donovan Mitchell,Max Strus,CLE,193,29
Evan Mobley,Max Strus,CLE,184,16
Sam Merrill,Donovan Mitchell,CLE,182,11
Sam Merrill,Darius Garland,CLE,167,11
Max Strus,Evan Mobley,CLE,165,23
Darius Garland,Sam Merrill,CLE,157,24
Ty Jerome,Sam Merrill,CLE,157,25
Donovan Mitchell,Dean Wade,CLE,155,22
Evan Mobley,Sam Merrill,CLE,154,31
De'Andre Hunter,Darius Garland,CLE,130,4
Jarrett Allen,Evan Mobley,CLE,123,26
Sam Merrill,Evan Mobley,CLE,117,19
Max Strus,Ty Jerome,CLE,117,6
Ty Jerome,Dean Wade,CLE,111,13
De'Andre Hunter,Donovan Mitchell,CLE,107,2
De'Andre Hunter,Ty Jerome,CLE,107,4
Jarrett Allen,Sam Merrill,CLE,90,9
Darius Garland,De'Andre Hunter,CLE,85,24
Donovan Mitchell,De'Andre Hunter,CLE,81,17
Ty Jerome,De'Andre Hunter,CLE,80,12
Evan Mobley,Dean Wade,CLE,79,8
Sam Merrill,Jarrett Allen,CLE,78,7
Evan Mobley,Jarrett Allen,CLE,75,32
Dean Wade,Evan Mobley,CLE,69,2
Ty Jerome,Max Strus,CLE,67,10
Dean Wade,Sam Merrill,CLE,61,2
Evan Mobley,De'Andre Hunter,CLE,55,10
Dean Wade,Jarrett Allen,CLE,52,9
Max Strus,De'Andre Hunter,CLE,50,7
Jarrett Allen,Dean Wade,CLE,48,11
Dean Wade,Max Strus,CLE,48,6
De'Andre Hunter,Evan Mobley,CLE,45,9
De'Andre Hunter,Sam Merrill,CLE,44,4
Jarrett Allen,De'Andre Hunter,CLE,43,5
Sam Merrill,Dean Wade,CLE,43,7
Max Strus,Dean Wade,CLE,40,6
Sam Merrill,De'Andre Hunter,CLE,39,7
De'Andre Hunter,Max Strus,CLE,31,0
Javonte Green,Darius Garland,CLE,30,1
Sam Merrill,Max Strus,CLE,28,0
Max Strus,Sam Merrill,CLE,27,1
Dean Wade,De'Andre Hunter,CLE,21,3
De'Andre Hunter,Jarrett Allen,CLE,20,5
De'Andre Hunter,Dean Wade,CLE,16,0
Darius Garland,Javonte Green,CLE,15,6
Javonte Green,Sam Merrill,CLE,14,1
Javonte Green,Donovan Mitchell,CLE,12,1
Jarrett Allen,Javonte Green,CLE,11,3
Javonte Green,Ty Jerome,CLE,9,0
Sam Merrill,Javonte Green,CLE,9,1
Ty Jerome,Javonte Green,CLE,9,0
Max Strus,Javonte Green,CLE,8,2
Javonte Green,De'Andre Hunter,CLE,6,1
Javonte Green,Max Strus,CLE,6,0
Dean Wade,Javonte Green,CLE,6,0
Javonte Green,Dean Wade,CLE,6,0
De'Andre Hunter,Javonte Green,CLE,5,0
Javonte Green,Jarrett Allen,CLE,4,2
Javonte Green,Evan Mobley,CLE,4,0
Donovan Mitchell,Javonte Green,CLE,3,0
Evan Mobley,Javonte Green,CLE,3,0
