Passer,Receiver,Team,Passes,Assists
P.J. Washington,Spencer Dinwiddie,DAL,492,10
P.J. Washington,Kyrie Irving,DAL,406,15
Spencer Dinwiddie,Naji Marshall,DAL,380,49
Naji Marshall,Spencer Dinwiddie,DAL,370,12
Spencer Dinwiddie,Kyrie Irving,DAL,312,28
Naji Marshall,Kyrie Irving,DAL,310,23
Spencer Dinwiddie,P.J. Washington,DAL,302,49
Daniel Gafford,Kyrie Irving,DAL,299,21
Kyrie Irving,Spencer Dinwiddie,DAL,280,17
Kyrie Irving,P.J. Washington,DAL,279,28
Kyrie Irving,Naji Marshall,DAL,266,21
Spencer Dinwiddie,Klay Thompson,DAL,254,39
P.J. Washington,Naji Marshall,DAL,249,16
Kyrie Irving,Klay Thompson,DAL,234,32
Daniel Gafford,Spencer Dinwiddie,DAL,214,6
Max Christie,Spencer Dinwiddie,DAL,210,2
Spencer Dinwiddie,Daniel Gafford,DAL,203,32
Kyrie Irving,Daniel Gafford,DAL,180,33
Naji Marshall,Max Christie,DAL,180,18
Naji Marshall,P.J. Washington,DAL,177,16
Spencer Dinwiddie,Max Christie,DAL,170,16
Max Christie,Naji Marshall,DAL,169,20
Klay Thompson,Spencer Dinwiddie,DAL,167,6
Naji Marshall,Klay Thompson,DAL,165,31
Klay Thompson,Kyrie Irving,DAL,159,14
Spencer Dinwiddie,Jaden Hardy,DAL,143,18
P.J. Washington,Klay Thompson,DAL,143,22
Daniel Gafford,P.J. Washington,DAL,135,7
Naji Marshall,Jaden Hardy,DAL,134,7
P.J. Washington,Jaden Hardy,DAL,129,7
Daniel Gafford,Klay Thompson,DAL,119,12
Jaden Hardy,Naji Marshall,DAL,118,9
Naji Marshall,Daniel Gafford,DAL,117,24
Daniel Gafford,Naji Marshall,DAL,116,11
Spencer Dinwiddie,Anthony Davis,DAL,116,15
Klay Thompson,P.J. Washington,DAL,115,15
Klay Thompson,Naji Marshall,DAL,106,9
Jaden Hardy,Spencer Dinwiddie,DAL,105,3
Max Christie,Kyrie Irving,DAL,96,7
Klay Thompson,Daniel Gafford,DAL,92,18
Anthony Davis,Spencer Dinwiddie,DAL,92,5
Max Christie,Klay Thompson,DAL,77,20
Kyrie Irving,Max Christie,DAL,71,9
Daniel Gafford,Jaden Hardy,DAL,65,5
Kyrie Irving,Jaden Hardy,DAL,65,4
P.J. Washington,Daniel Gafford,DAL,56,14
Naji Marshall,Anthony Davis,DAL,56,7
Anthony Davis,Naji Marshall,DAL,52,3
Jaden Hardy,Kyrie Irving,DAL,51,6
Caleb Martin,Spencer Dinwiddie,DAL,46,2
Anthony Davis,P.J. Washington,DAL,46,9
P.J. Washington,Max Christie,DAL,46,3
Jaden Hardy,P.J. Washington,DAL,45,4
Jaden Hardy,Daniel Gafford,DAL,45,9
Jaden Hardy,Klay Thompson,DAL,42,10
Max Christie,P.J. Washington,DAL,42,3
Caleb Martin,Naji Marshall,DAL,42,6
Klay Thompson,Max Christie,DAL,40,5
Naji Marshall,Caleb Martin,DAL,39,3
Spencer Dinwiddie,Caleb Martin,DAL,39,0
Max Christie,Jaden Hardy,DAL,38,0
Jaden Hardy,Max Christie,DAL,37,2
P.J. Washington,Anthony Davis,DAL,35,5
Anthony Davis,Max Christie,DAL,32,6
Max Christie,Caleb Martin,DAL,30,0
Klay Thompson,Jaden Hardy,DAL,30,5
Daniel Gafford,Max Christie,DAL,28,1
Anthony Davis,Klay Thompson,DAL,28,5
Anthony Davis,Jaden Hardy,DAL,27,2
Caleb Martin,Anthony Davis,DAL,27,3
Max Christie,Daniel Gafford,DAL,26,1
Anthony Davis,Caleb Martin,DAL,24,1
Caleb Martin,Max Christie,DAL,23,2
Max Christie,Anthony Davis,DAL,23,2
Klay Thompson,Anthony Davis,DAL,22,4
Jaden Hardy,Caleb Martin,DAL,16,1
Caleb Martin,Klay Thompson,DAL,15,3
Anthony Davis,Kyrie Irving,DAL,15,0
Caleb Martin,Jaden Hardy,DAL,14,2
Daniel Gafford,Caleb Martin,DAL,12,1
Kyrie Irving,Anthony Davis,DAL,11,2
Caleb Martin,Daniel Gafford,DAL,10,0
Jaden Hardy,Anthony Davis,DAL,10,0
Klay Thompson,Caleb Martin,DAL,8,0
P.J. Washington,Caleb Martin,DAL,8,1
Anthony Davis,Daniel Gafford,DAL,7,4
Daniel Gafford,Anthony Davis,DAL,5,1
Caleb Martin,P.J. Washington,DAL,2,0
