Passer,Receiver,Team,Passes,Assists
Nikola Jokić,Jamal Murray,DEN,1328,116
Jamal Murray,Nikola Jokić,DEN,1072,129
Russell Westbrook,Nikola Jokić,DEN,1025,145
Nikola Jokić,Russell Westbrook,DEN,987,84
Nikola Jokić,Christian Braun,DEN,925,168
Christian Braun,Nikola Jokić,DEN,889,85
Nikola Jokić,Michael Porter Jr.,DEN,793,155
Michael Porter Jr.,Nikola Jokić,DEN,693,64
Nikola Jokić,Aaron Gordon,DEN,510,74
Aaron Gordon,Nikola Jokić,DEN,457,40
Christian Braun,Jamal Murray,DEN,448,12
Russell Westbrook,Jamal Murray,DEN,432,34
Michael Porter Jr.,Russell Westbrook,DEN,418,13
Michael Porter Jr.,Jamal Murray,DEN,412,11
Jamal Murray,Russell Westbrook,DEN,393,41
Christian Braun,Russell Westbrook,DEN,375,16
Peyton Watson,Russell Westbrook,DEN,341,9
Russell Westbrook,Michael Porter Jr.,DEN,332,72
Jamal Murray,Christian Braun,DEN,329,48
Jamal Murray,Michael Porter Jr.,DEN,314,66
Russell Westbrook,Christian Braun,DEN,298,59
Peyton Watson,Nikola Jokić,DEN,294,28
Peyton Watson,Jamal Murray,DEN,294,9
Nikola Jokić,Peyton Watson,DEN,291,40
Nikola Jokić,Julian Strawther,DEN,285,46
Jamal Murray,Aaron Gordon,DEN,276,27
Aaron Gordon,Jamal Murray,DEN,273,21
Julian Strawther,Nikola Jokić,DEN,262,27
Jamal Murray,Peyton Watson,DEN,243,26
Russell Westbrook,Peyton Watson,DEN,242,42
Michael Porter Jr.,Christian Braun,DEN,226,27
DeAndre Jordan,Jamal Murray,DEN,219,7
Aaron Gordon,Michael Porter Jr.,DEN,211,36
Julian Strawther,Russell Westbrook,DEN,197,8
Jalen Pickett,Nikola Jokić,DEN,196,20
Russell Westbrook,Aaron Gordon,DEN,196,22
Russell Westbrook,Julian Strawther,DEN,189,26
Christian Braun,Michael Porter Jr.,DEN,186,36
Nikola Jokić,Jalen Pickett,DEN,186,19
Jamal Murray,Julian Strawther,DEN,183,29
Christian Braun,Aaron Gordon,DEN,175,21
DeAndre Jordan,Russell Westbrook,DEN,165,2
Julian Strawther,Jamal Murray,DEN,164,8
Aaron Gordon,Russell Westbrook,DEN,162,9
Michael Porter Jr.,Aaron Gordon,DEN,150,13
Aaron Gordon,Christian Braun,DEN,146,26
Russell Westbrook,DeAndre Jordan,DEN,125,21
Peyton Watson,Christian Braun,DEN,121,14
Jamal Murray,DeAndre Jordan,DEN,117,15
Christian Braun,Peyton Watson,DEN,113,11
Michael Porter Jr.,Peyton Watson,DEN,106,20
Peyton Watson,Michael Porter Jr.,DEN,102,16
DeAndre Jordan,Julian Strawther,DEN,100,16
Christian Braun,Jalen Pickett,DEN,94,3
Peyton Watson,Julian Strawther,DEN,90,4
Jalen Pickett,Christian Braun,DEN,89,6
Christian Braun,Julian Strawther,DEN,83,10
Jalen Pickett,Julian Strawther,DEN,78,9
Julian Strawther,Peyton Watson,DEN,76,4
Peyton Watson,Aaron Gordon,DEN,74,5
Julian Strawther,Christian Braun,DEN,74,5
Michael Porter Jr.,Jalen Pickett,DEN,73,1
Jalen Pickett,Russell Westbrook,DEN,71,5
Michael Porter Jr.,Julian Strawther,DEN,69,5
Julian Strawther,Jalen Pickett,DEN,69,3
Jalen Pickett,Michael Porter Jr.,DEN,62,9
Julian Strawther,Michael Porter Jr.,DEN,61,11
DeAndre Jordan,Michael Porter Jr.,DEN,60,9
Aaron Gordon,Julian Strawther,DEN,60,11
Julian Strawther,DeAndre Jordan,DEN,59,2
Peyton Watson,Jalen Pickett,DEN,54,1
Jalen Pickett,Peyton Watson,DEN,52,8
Michael Porter Jr.,DeAndre Jordan,DEN,52,6
DeAndre Jordan,Peyton Watson,DEN,51,6
Peyton Watson,DeAndre Jordan,DEN,51,6
DeAndre Jordan,Jalen Pickett,DEN,49,1
Russell Westbrook,Jalen Pickett,DEN,49,4
Aaron Gordon,Peyton Watson,DEN,45,7
Jalen Pickett,Aaron Gordon,DEN,45,5
Julian Strawther,Aaron Gordon,DEN,44,3
Jalen Pickett,DeAndre Jordan,DEN,41,5
Christian Braun,DeAndre Jordan,DEN,39,3
DeAndre Jordan,Christian Braun,DEN,36,9
Aaron Gordon,DeAndre Jordan,DEN,34,7
Jalen Pickett,Jamal Murray,DEN,34,3
Jamal Murray,Jalen Pickett,DEN,34,1
DeAndre Jordan,Aaron Gordon,DEN,29,1
Aaron Gordon,Jalen Pickett,DEN,28,2
