Passer,Receiver,Team,Passes,Assists
Draymond Green,Stephen Curry,GSW,1098,125
Stephen Curry,Draymond Green,GSW,544,52
Draymond Green,Brandin Podziemski,GSW,494,24
Draymond Green,Jimmy Butler III,GSW,481,43
Brandin Podziemski,Draymond Green,GSW,428,26
Buddy Hield,Stephen Curry,GSW,372,19
Jimmy Butler III,Draymond Green,GSW,353,27
Stephen Curry,Buddy Hield,GSW,308,41
Gary Payton II,Stephen Curry,GSW,304,11
Kevon Looney,Stephen Curry,GSW,304,21
Brandin Podziemski,Jimmy Butler III,GSW,290,22
Jimmy Butler III,Brandin Podziemski,GSW,286,26
Kevon Looney,Brandin Podziemski,GSW,283,14
Buddy Hield,Brandin Podziemski,GSW,279,10
Brandin Podziemski,Buddy Hield,GSW,274,22
Brandin Podziemski,Stephen Curry,GSW,268,20
Draymond Green,Buddy Hield,GSW,257,33
Stephen Curry,Brandin Podziemski,GSW,236,29
Brandin Podziemski,Moses Moody,GSW,235,25
Buddy Hield,Draymond Green,GSW,235,9
Jimmy Butler III,Stephen Curry,GSW,233,32
Stephen Curry,Gary Payton II,GSW,225,60
Kevon Looney,Buddy Hield,GSW,221,27
Brandin Podziemski,Jonathan Kuminga,GSW,219,25
Stephen Curry,Kevon Looney,GSW,219,27
Draymond Green,Moses Moody,GSW,217,23
Brandin Podziemski,Kevon Looney,GSW,213,7
Trayce Jackson-Davis,Draymond Green,GSW,210,14
Buddy Hield,Jonathan Kuminga,GSW,207,12
Moses Moody,Draymond Green,GSW,194,10
Jonathan Kuminga,Stephen Curry,GSW,193,12
Trayce Jackson-Davis,Stephen Curry,GSW,189,13
Jonathan Kuminga,Draymond Green,GSW,185,6
Stephen Curry,Jonathan Kuminga,GSW,184,26
Draymond Green,Jonathan Kuminga,GSW,183,24
Stephen Curry,Moses Moody,GSW,182,35
Jonathan Kuminga,Brandin Podziemski,GSW,179,9
Stephen Curry,Trayce Jackson-Davis,GSW,171,33
Stephen Curry,Jimmy Butler III,GSW,169,15
Jimmy Butler III,Moses Moody,GSW,165,27
Buddy Hield,Kevon Looney,GSW,161,8
Jonathan Kuminga,Buddy Hield,GSW,159,20
Moses Moody,Brandin Podziemski,GSW,153,15
Kevon Looney,Jonathan Kuminga,GSW,151,10
Gary Payton II,Buddy Hield,GSW,144,16
Gary Payton II,Draymond Green,GSW,140,7
Jimmy Butler III,Buddy Hield,GSW,139,17
Draymond Green,Trayce Jackson-Davis,GSW,135,21
Trayce Jackson-Davis,Brandin Podziemski,GSW,134,8
Buddy Hield,Jimmy Butler III,GSW,128,3
Moses Moody,Jimmy Butler III,GSW,126,5
Moses Moody,Stephen Curry,GSW,123,13
Buddy Hield,Gary Payton II,GSW,120,12
Jonathan Kuminga,Kevon Looney,GSW,115,5
Gary Payton II,Brandin Podziemski,GSW,106,7
Brandin Podziemski,Trayce Jackson-Davis,GSW,106,9
Draymond Green,Gary Payton II,GSW,104,12
Trayce Jackson-Davis,Buddy Hield,GSW,104,10
Buddy Hield,Moses Moody,GSW,101,8
Kevon Looney,Gary Payton II,GSW,96,10
Kevon Looney,Moses Moody,GSW,95,6
Moses Moody,Kevon Looney,GSW,89,5
Gary Payton II,Jimmy Butler III,GSW,84,3
Moses Moody,Buddy Hield,GSW,81,8
Buddy Hield,Trayce Jackson-Davis,GSW,81,11
Gary Payton II,Kevon Looney,GSW,81,3
Trayce Jackson-Davis,Jonathan Kuminga,GSW,73,3
Brandin Podziemski,Gary Payton II,GSW,72,11
Gary Payton II,Moses Moody,GSW,70,13
Jimmy Butler III,Gary Payton II,GSW,66,12
Jonathan Kuminga,Moses Moody,GSW,66,11
Gary Payton II,Jonathan Kuminga,GSW,63,9
Kevon Looney,Jimmy Butler III,GSW,61,0
Jimmy Butler III,Jonathan Kuminga,GSW,60,6
Moses Moody,Jonathan Kuminga,GSW,59,4
Jonathan Kuminga,Trayce Jackson-Davis,GSW,57,4
Moses Moody,Trayce Jackson-Davis,GSW,56,4
Kevon Looney,Draymond Green,GSW,54,4
Trayce Jackson-Davis,Moses Moody,GSW,52,10
Jonathan Kuminga,Gary Payton II,GSW,50,6
Jimmy Butler III,Kevon Looney,GSW,46,2
Moses Moody,Gary Payton II,GSW,41,6
Jonathan Kuminga,Jimmy Butler III,GSW,30,2
Gary Payton II,Trayce Jackson-Davis,GSW,19,4
Draymond Green,Kevon Looney,GSW,19,2
Trayce Jackson-Davis,Gary Payton II,GSW,17,2
Jimmy Butler III,Trayce Jackson-Davis,GSW,4,1
Trayce Jackson-Davis,Jimmy Butler III,GSW,4,1
