Passer,Receiver,Team,Passes,Assists
Fred VanVleet,Alperen Sengun,HOU,1190,93
Alperen Sengun,Jalen Green,HOU,830,73
Alperen Sengun,Fred VanVleet,HOU,817,51
Fred VanVleet,Jalen Green,HOU,810,37
Jalen Green,Fred VanVleet,HOU,726,17
Jalen Green,Alperen Sengun,HOU,723,78
Amen Thompson,Jalen Green,HOU,562,38
Amen Thompson,Fred VanVleet,HOU,493,21
Jalen Green,Dillon Brooks,HOU,469,54
Amen Thompson,Alperen Sengun,HOU,450,34
Jabari Smith Jr.,Fred VanVleet,HOU,441,6
Jalen Green,Amen Thompson,HOU,426,32
Fred VanVleet,Dillon Brooks,HOU,424,50
Dillon Brooks,Fred VanVleet,HOU,394,9
Alperen Sengun,Dillon Brooks,HOU,387,65
Alperen Sengun,Amen Thompson,HOU,379,62
Dillon Brooks,Jalen Green,HOU,377,21
Dillon Brooks,Alperen Sengun,HOU,374,37
Tari Eason,Jalen Green,HOU,329,7
Fred VanVleet,Amen Thompson,HOU,318,39
Tari Eason,Fred VanVleet,HOU,314,10
Jabari Smith Jr.,Jalen Green,HOU,311,14
Fred VanVleet,Jabari Smith Jr.,HOU,237,46
Amen Thompson,Dillon Brooks,HOU,220,46
Alperen Sengun,Jabari Smith Jr.,HOU,217,38
Tari Eason,Amen Thompson,HOU,215,16
Steven Adams,Jalen Green,HOU,193,9
Jalen Green,Jabari Smith Jr.,HOU,191,26
Amen Thompson,Tari Eason,HOU,186,30
Fred VanVleet,Tari Eason,HOU,178,27
Dillon Brooks,Amen Thompson,HOU,175,15
Jalen Green,Tari Eason,HOU,175,19
Steven Adams,Fred VanVleet,HOU,170,6
Steven Adams,Amen Thompson,HOU,163,14
Jabari Smith Jr.,Alperen Sengun,HOU,162,9
Alperen Sengun,Tari Eason,HOU,153,39
Jabari Smith Jr.,Amen Thompson,HOU,150,6
Amen Thompson,Aaron Holiday,HOU,140,12
Jalen Green,Steven Adams,HOU,120,9
Jabari Smith Jr.,Dillon Brooks,HOU,115,8
Amen Thompson,Steven Adams,HOU,111,10
Tari Eason,Alperen Sengun,HOU,111,11
Aaron Holiday,Amen Thompson,HOU,108,9
Jalen Green,Aaron Holiday,HOU,108,11
Amen Thompson,Cam Whitmore,HOU,105,20
Aaron Holiday,Alperen Sengun,HOU,104,4
Aaron Holiday,Jalen Green,HOU,104,6
Amen Thompson,Jabari Smith Jr.,HOU,102,19
Alperen Sengun,Aaron Holiday,HOU,99,13
Fred VanVleet,Steven Adams,HOU,98,7
Tari Eason,Dillon Brooks,HOU,90,12
Dillon Brooks,Tari Eason,HOU,88,19
Steven Adams,Dillon Brooks,HOU,83,11
Cam Whitmore,Amen Thompson,HOU,77,5
Aaron Holiday,Cam Whitmore,HOU,75,9
Dillon Brooks,Jabari Smith Jr.,HOU,75,15
Aaron Holiday,Fred VanVleet,HOU,72,2
Fred VanVleet,Cam Whitmore,HOU,71,10
Tari Eason,Aaron Holiday,HOU,68,4
Cam Whitmore,Fred VanVleet,HOU,64,0
Cam Whitmore,Jalen Green,HOU,64,2
Jalen Green,Cam Whitmore,HOU,64,8
Alperen Sengun,Cam Whitmore,HOU,63,15
Fred VanVleet,Aaron Holiday,HOU,62,5
Jabari Smith Jr.,Aaron Holiday,HOU,62,3
Cam Whitmore,Aaron Holiday,HOU,60,10
Aaron Holiday,Jabari Smith Jr.,HOU,55,10
Jabari Smith Jr.,Tari Eason,HOU,54,7
Steven Adams,Tari Eason,HOU,51,4
Tari Eason,Jabari Smith Jr.,HOU,48,10
Aaron Holiday,Dillon Brooks,HOU,47,7
Steven Adams,Aaron Holiday,HOU,46,2
Steven Adams,Cam Whitmore,HOU,45,4
Dillon Brooks,Steven Adams,HOU,43,1
Steven Adams,Jabari Smith Jr.,HOU,43,8
Aaron Holiday,Steven Adams,HOU,42,3
Aaron Holiday,Tari Eason,HOU,40,3
Cam Whitmore,Alperen Sengun,HOU,33,5
Steven Adams,Alperen Sengun,HOU,32,2
Dillon Brooks,Aaron Holiday,HOU,32,2
Tari Eason,Cam Whitmore,HOU,32,6
Tari Eason,Steven Adams,HOU,28,3
Jabari Smith Jr.,Steven Adams,HOU,28,1
Cam Whitmore,Dillon Brooks,HOU,20,4
Dillon Brooks,Cam Whitmore,HOU,19,1
Cam Whitmore,Steven Adams,HOU,18,1
Cam Whitmore,Tari Eason,HOU,15,5
Alperen Sengun,Steven Adams,HOU,14,3
Jabari Smith Jr.,Cam Whitmore,HOU,13,1
Cam Whitmore,Jabari Smith Jr.,HOU,10,0
Alperen Sengun,Alperen Sengun,HOU,1,0
