Passer,Receiver,Team,Passes,Assists
Tyrese Haliburton,Andrew Nembhard,IND,1059,60
Tyrese Haliburton,Pascal Siakam,IND,1029,146
Pascal Siakam,Tyrese Haliburton,IND,922,50
Andrew Nembhard,Tyrese Haliburton,IND,880,40
Tyrese Haliburton,Myles Turner,IND,773,140
Myles Turner,Tyrese Haliburton,IND,740,28
Tyrese Haliburton,Bennedict Mathurin,IND,709,72
Bennedict Mathurin,Tyrese Haliburton,IND,707,17
Obi Toppin,Tyrese Haliburton,IND,614,23
Obi Toppin,T.J. McConnell,IND,577,19
Andrew Nembhard,Pascal Siakam,IND,526,74
Andrew Nembhard,Myles Turner,IND,516,84
Pascal Siakam,Andrew Nembhard,IND,457,23
Aaron Nesmith,Tyrese Haliburton,IND,453,8
T.J. McConnell,Pascal Siakam,IND,447,57
T.J. McConnell,Bennedict Mathurin,IND,445,46
T.J. McConnell,Obi Toppin,IND,431,72
Ben Sheppard,T.J. McConnell,IND,420,14
T.J. McConnell,Ben Sheppard,IND,420,33
Tyrese Haliburton,Obi Toppin,IND,413,80
Jarace Walker,T.J. McConnell,IND,406,13
Bennedict Mathurin,T.J. McConnell,IND,406,19
Tyrese Haliburton,Aaron Nesmith,IND,384,69
Pascal Siakam,T.J. McConnell,IND,370,22
Tyrese Haliburton,T.J. McConnell,IND,362,19
T.J. McConnell,Jarace Walker,IND,357,38
Myles Turner,Andrew Nembhard,IND,355,12
Pascal Siakam,Bennedict Mathurin,IND,338,34
Andrew Nembhard,Bennedict Mathurin,IND,308,35
Bennedict Mathurin,Andrew Nembhard,IND,297,11
T.J. McConnell,Tyrese Haliburton,IND,296,20
Bennedict Mathurin,Pascal Siakam,IND,274,29
Obi Toppin,Andrew Nembhard,IND,228,9
Ben Sheppard,Tyrese Haliburton,IND,216,10
Bennedict Mathurin,Myles Turner,IND,216,18
Myles Turner,Pascal Siakam,IND,209,33
Jarace Walker,Tyrese Haliburton,IND,206,8
Pascal Siakam,Myles Turner,IND,204,43
Myles Turner,Bennedict Mathurin,IND,203,15
Tyrese Haliburton,Jarace Walker,IND,198,21
Aaron Nesmith,Andrew Nembhard,IND,196,6
Andrew Nembhard,Obi Toppin,IND,196,32
Tyrese Haliburton,Ben Sheppard,IND,188,19
Andrew Nembhard,Aaron Nesmith,IND,181,24
Aaron Nesmith,Pascal Siakam,IND,175,15
Aaron Nesmith,T.J. McConnell,IND,170,9
Obi Toppin,Bennedict Mathurin,IND,159,13
T.J. McConnell,Myles Turner,IND,157,20
Jarace Walker,Pascal Siakam,IND,151,15
Pascal Siakam,Aaron Nesmith,IND,147,24
Jarace Walker,Obi Toppin,IND,141,19
Bennedict Mathurin,Obi Toppin,IND,139,13
T.J. McConnell,Aaron Nesmith,IND,133,15
Ben Sheppard,Pascal Siakam,IND,130,11
Myles Turner,T.J. McConnell,IND,123,3
Ben Sheppard,Andrew Nembhard,IND,113,2
Pascal Siakam,Ben Sheppard,IND,110,15
Obi Toppin,Jarace Walker,IND,110,12
Ben Sheppard,Bennedict Mathurin,IND,105,7
T.J. McConnell,Andrew Nembhard,IND,104,6
Ben Sheppard,Jarace Walker,IND,100,7
Pascal Siakam,Jarace Walker,IND,99,12
Jarace Walker,Bennedict Mathurin,IND,90,6
Ben Sheppard,Obi Toppin,IND,87,9
Andrew Nembhard,T.J. McConnell,IND,86,5
Obi Toppin,Pascal Siakam,IND,86,9
Obi Toppin,Ben Sheppard,IND,86,10
Bennedict Mathurin,Jarace Walker,IND,84,8
Jarace Walker,Andrew Nembhard,IND,84,2
Aaron Nesmith,Myles Turner,IND,83,6
Myles Turner,Aaron Nesmith,IND,83,7
Pascal Siakam,Obi Toppin,IND,80,15
Andrew Nembhard,Jarace Walker,IND,67,11
Bennedict Mathurin,Ben Sheppard,IND,66,6
Jarace Walker,Myles Turner,IND,64,12
Andrew Nembhard,Ben Sheppard,IND,64,5
Obi Toppin,Aaron Nesmith,IND,64,12
Ben Sheppard,Myles Turner,IND,61,12
Myles Turner,Obi Toppin,IND,59,6
Obi Toppin,Myles Turner,IND,59,8
Aaron Nesmith,Obi Toppin,IND,57,3
Myles Turner,Jarace Walker,IND,52,3
Jarace Walker,Ben Sheppard,IND,51,4
Ben Sheppard,Aaron Nesmith,IND,34,4
Myles Turner,Ben Sheppard,IND,31,0
Aaron Nesmith,Bennedict Mathurin,IND,27,1
Bennedict Mathurin,Aaron Nesmith,IND,22,3
Jarace Walker,Aaron Nesmith,IND,20,3
Aaron Nesmith,Ben Sheppard,IND,19,1
Aaron Nesmith,Jarace Walker,IND,17,1
