Passer,Receiver,Team,Passes,Assists
Damian Lillard,Giannis Antetokounmpo,MIL,1058,118
Giannis Antetokounmpo,Damian Lillard,MIL,944,53
Brook Lopez,Damian Lillard,MIL,680,24
Damian Lillard,Brook Lopez,MIL,639,89
Bobby Portis,Damian Lillard,MIL,505,10
Taurean Prince,Damian Lillard,MIL,488,17
Taurean Prince,Giannis Antetokounmpo,MIL,470,41
Giannis Antetokounmpo,Taurean Prince,MIL,427,69
Giannis Antetokounmpo,Brook Lopez,MIL,422,83
Brook Lopez,Giannis Antetokounmpo,MIL,398,35
Damian Lillard,Bobby Portis,MIL,355,47
Damian Lillard,Taurean Prince,MIL,352,39
AJ Green,Damian Lillard,MIL,349,12
Andre Jackson Jr.,Damian Lillard,MIL,273,9
AJ Green,Giannis Antetokounmpo,MIL,252,8
Gary Trent Jr.,Damian Lillard,MIL,247,7
Damian Lillard,Gary Trent Jr.,MIL,245,33
Giannis Antetokounmpo,Gary Trent Jr.,MIL,244,50
Damian Lillard,AJ Green,MIL,230,25
Giannis Antetokounmpo,AJ Green,MIL,229,35
Gary Trent Jr.,Giannis Antetokounmpo,MIL,191,18
Kyle Kuzma,Giannis Antetokounmpo,MIL,191,12
Kevin Porter Jr.,Giannis Antetokounmpo,MIL,181,10
Taurean Prince,Brook Lopez,MIL,180,26
Damian Lillard,Andre Jackson Jr.,MIL,178,16
Brook Lopez,Taurean Prince,MIL,177,17
Andre Jackson Jr.,Giannis Antetokounmpo,MIL,171,19
Giannis Antetokounmpo,Kevin Porter Jr.,MIL,166,13
Damian Lillard,Kyle Kuzma,MIL,162,10
AJ Green,Kevin Porter Jr.,MIL,161,0
Giannis Antetokounmpo,Kyle Kuzma,MIL,157,35
Kevin Porter Jr.,Kyle Kuzma,MIL,150,19
Bobby Portis,Gary Trent Jr.,MIL,150,25
Bobby Portis,Giannis Antetokounmpo,MIL,147,7
Kyle Kuzma,Damian Lillard,MIL,145,4
Kevin Porter Jr.,Brook Lopez,MIL,142,20
Bobby Portis,AJ Green,MIL,136,13
Kyle Kuzma,Kevin Porter Jr.,MIL,136,6
Giannis Antetokounmpo,Bobby Portis,MIL,129,31
AJ Green,Bobby Portis,MIL,128,14
AJ Green,Brook Lopez,MIL,125,18
Gary Trent Jr.,Bobby Portis,MIL,122,17
Brook Lopez,Kevin Porter Jr.,MIL,122,6
Brook Lopez,Gary Trent Jr.,MIL,118,11
Giannis Antetokounmpo,Andre Jackson Jr.,MIL,116,13
Kevin Porter Jr.,AJ Green,MIL,116,16
Brook Lopez,Kyle Kuzma,MIL,114,8
Bobby Portis,Taurean Prince,MIL,111,17
AJ Green,Gary Trent Jr.,MIL,110,17
Kyle Kuzma,Brook Lopez,MIL,110,13
Kevin Porter Jr.,Gary Trent Jr.,MIL,108,15
Brook Lopez,AJ Green,MIL,105,11
Gary Trent Jr.,Brook Lopez,MIL,104,13
Taurean Prince,Gary Trent Jr.,MIL,99,11
Andre Jackson Jr.,Taurean Prince,MIL,98,12
Taurean Prince,Bobby Portis,MIL,95,11
Taurean Prince,Kevin Porter Jr.,MIL,92,2
Kyle Kuzma,Taurean Prince,MIL,88,9
Gary Trent Jr.,Kevin Porter Jr.,MIL,82,4
Andre Jackson Jr.,Brook Lopez,MIL,79,10
Kyle Kuzma,AJ Green,MIL,75,7
Kyle Kuzma,Gary Trent Jr.,MIL,74,8
Kevin Porter Jr.,Taurean Prince,MIL,70,15
AJ Green,Kyle Kuzma,MIL,68,6
AJ Green,Taurean Prince,MIL,67,13
Gary Trent Jr.,Taurean Prince,MIL,67,6
Taurean Prince,AJ Green,MIL,66,10
Gary Trent Jr.,AJ Green,MIL,64,6
Gary Trent Jr.,Kyle Kuzma,MIL,63,7
Taurean Prince,Kyle Kuzma,MIL,62,12
Brook Lopez,Andre Jackson Jr.,MIL,60,7
Brook Lopez,Bobby Portis,MIL,59,6
Taurean Prince,Andre Jackson Jr.,MIL,52,13
Bobby Portis,Brook Lopez,MIL,51,8
Bobby Portis,Kevin Porter Jr.,MIL,46,0
Bobby Portis,Andre Jackson Jr.,MIL,46,2
Andre Jackson Jr.,Bobby Portis,MIL,44,5
Andre Jackson Jr.,AJ Green,MIL,40,7
Kevin Porter Jr.,Bobby Portis,MIL,32,4
AJ Green,Andre Jackson Jr.,MIL,31,1
Kevin Porter Jr.,Damian Lillard,MIL,29,1
Andre Jackson Jr.,Kevin Porter Jr.,MIL,21,1
Bobby Portis,Kyle Kuzma,MIL,19,1
Andre Jackson Jr.,Gary Trent Jr.,MIL,19,2
Andre Jackson Jr.,Kyle Kuzma,MIL,19,2
Damian Lillard,Kevin Porter Jr.,MIL,18,3
Kyle Kuzma,Andre Jackson Jr.,MIL,17,2
Kevin Porter Jr.,Andre Jackson Jr.,MIL,12,0
Kyle Kuzma,Bobby Portis,MIL,10,1
Gary Trent Jr.,Andre Jackson Jr.,MIL,7,0
