Passer,Receiver,Team,Passes,Assists
Anthony Black,Franz Wagner,ORL,476,35
Paolo Banchero,Franz Wagner,ORL,428,51
Franz Wagner,Paolo Banchero,ORL,414,35
Cole Anthony,Paolo Banchero,ORL,376,27
Anthony Black,Paolo Banchero,ORL,374,21
Franz Wagner,Anthony Black,ORL,374,35
Goga Bitadze,Franz Wagner,ORL,363,30
Jonathan Isaac,Anthony Black,ORL,360,5
Goga Bitadze,Jalen Suggs,ORL,358,17
Jalen Suggs,Franz Wagner,ORL,338,25
Paolo Banchero,Anthony Black,ORL,316,19
Kentavious Caldwell-Pope,Paolo Banchero,ORL,306,14
Paolo Banchero,Cole Anthony,ORL,304,18
Kentavious Caldwell-Pope,Franz Wagner,ORL,303,23
Wendell Carter Jr.,Franz Wagner,ORL,295,24
Wendell Carter Jr.,Paolo Banchero,ORL,283,20
Goga Bitadze,Anthony Black,ORL,276,14
Paolo Banchero,Kentavious Caldwell-Pope,ORL,267,29
Franz Wagner,Jalen Suggs,ORL,265,22
Franz Wagner,Kentavious Caldwell-Pope,ORL,262,34
Anthony Black,Goga Bitadze,ORL,262,14
Kentavious Caldwell-Pope,Anthony Black,ORL,259,12
Paolo Banchero,Wendell Carter Jr.,ORL,257,44
Kentavious Caldwell-Pope,Jalen Suggs,ORL,251,12
Jalen Suggs,Goga Bitadze,ORL,244,20
Kentavious Caldwell-Pope,Cole Anthony,ORL,232,5
Anthony Black,Wendell Carter Jr.,ORL,226,19
Goga Bitadze,Cole Anthony,ORL,226,13
Cole Anthony,Franz Wagner,ORL,226,24
Tristan da Silva,Anthony Black,ORL,220,7
Wendell Carter Jr.,Cole Anthony,ORL,218,8
Franz Wagner,Wendell Carter Jr.,ORL,214,31
Anthony Black,Tristan da Silva,ORL,213,19
Cole Anthony,Wendell Carter Jr.,ORL,209,22
Jalen Suggs,Kentavious Caldwell-Pope,ORL,205,17
Franz Wagner,Cole Anthony,ORL,205,13
Cole Anthony,Anthony Black,ORL,200,10
Anthony Black,Cole Anthony,ORL,197,13
Franz Wagner,Goga Bitadze,ORL,194,27
Wendell Carter Jr.,Kentavious Caldwell-Pope,ORL,191,21
Tristan da Silva,Cole Anthony,ORL,189,7
Goga Bitadze,Tristan da Silva,ORL,185,17
Jalen Suggs,Anthony Black,ORL,185,6
Cole Anthony,Tristan da Silva,ORL,181,16
Wendell Carter Jr.,Anthony Black,ORL,177,12
Anthony Black,Jonathan Isaac,ORL,174,21
Kentavious Caldwell-Pope,Goga Bitadze,ORL,167,17
Cole Anthony,Kentavious Caldwell-Pope,ORL,167,23
Jonathan Isaac,Franz Wagner,ORL,164,10
Cole Anthony,Goga Bitadze,ORL,164,14
Tristan da Silva,Jalen Suggs,ORL,163,2
Goga Bitadze,Kentavious Caldwell-Pope,ORL,161,17
Jalen Suggs,Tristan da Silva,ORL,158,16
Wendell Carter Jr.,Jalen Suggs,ORL,158,5
Tristan da Silva,Franz Wagner,ORL,157,18
Anthony Black,Jalen Suggs,ORL,152,8
Anthony Black,Kentavious Caldwell-Pope,ORL,147,9
Tristan da Silva,Goga Bitadze,ORL,145,19
Jonathan Isaac,Cole Anthony,ORL,142,2
Goga Bitadze,Paolo Banchero,ORL,133,6
Tristan da Silva,Kentavious Caldwell-Pope,ORL,126,15
Kentavious Caldwell-Pope,Wendell Carter Jr.,ORL,126,15
Jalen Suggs,Wendell Carter Jr.,ORL,123,13
Jalen Suggs,Paolo Banchero,ORL,108,9
Kentavious Caldwell-Pope,Tristan da Silva,ORL,102,17
Franz Wagner,Tristan da Silva,ORL,102,21
Tristan da Silva,Paolo Banchero,ORL,93,7
Paolo Banchero,Jalen Suggs,ORL,87,7
Jonathan Isaac,Jalen Suggs,ORL,84,0
Wendell Carter Jr.,Tristan da Silva,ORL,81,15
Tristan da Silva,Wendell Carter Jr.,ORL,80,11
Cole Anthony,Jonathan Isaac,ORL,78,11
Paolo Banchero,Goga Bitadze,ORL,75,8
Franz Wagner,Jonathan Isaac,ORL,71,13
Jonathan Isaac,Paolo Banchero,ORL,70,2
Paolo Banchero,Tristan da Silva,ORL,57,6
Paolo Banchero,Jonathan Isaac,ORL,56,13
Jalen Suggs,Jonathan Isaac,ORL,44,4
Jonathan Isaac,Tristan da Silva,ORL,40,1
Jonathan Isaac,Kentavious Caldwell-Pope,ORL,40,2
Jalen Suggs,Cole Anthony,ORL,39,0
Tristan da Silva,Jonathan Isaac,ORL,29,1
Wendell Carter Jr.,Jonathan Isaac,ORL,28,6
Goga Bitadze,Wendell Carter Jr.,ORL,27,5
Cole Anthony,Jalen Suggs,ORL,27,3
Jonathan Isaac,Goga Bitadze,ORL,23,2
Wendell Carter Jr.,Goga Bitadze,ORL,23,7
Kentavious Caldwell-Pope,Jonathan Isaac,ORL,21,2
Goga Bitadze,Jonathan Isaac,ORL,16,2
Jonathan Isaac,Wendell Carter Jr.,ORL,14,4
Anthony Black,Anthony Black,ORL,2,0
