Passer,Receiver,Team,Passes,Assists
Tyus Jones,Devin Booker,PHX,1350,112
Royce O'Neale,Tyus Jones,PHX,781,30
Tyus Jones,Kevin Durant,PHX,638,76
Devin Booker,Kevin Durant,PHX,563,99
Devin Booker,Tyus Jones,PHX,543,69
Bradley Beal,Devin Booker,PHX,539,33
Royce O'Neale,Devin Booker,PHX,469,37
Kevin Durant,Tyus Jones,PHX,446,22
Kevin Durant,Devin Booker,PHX,430,43
Tyus Jones,Royce O'Neale,PHX,403,52
Mason Plumlee,Tyus Jones,PHX,402,10
Tyus Jones,Bradley Beal,PHX,401,29
Bradley Beal,Kevin Durant,PHX,380,42
Royce O'Neale,Bradley Beal,PHX,366,18
Devin Booker,Royce O'Neale,PHX,359,54
Devin Booker,Bradley Beal,PHX,351,60
Grayson Allen,Devin Booker,PHX,344,23
Bradley Beal,Tyus Jones,PHX,343,19
Grayson Allen,Tyus Jones,PHX,329,16
Devin Booker,Grayson Allen,PHX,323,50
Mason Plumlee,Devin Booker,PHX,314,23
Ryan Dunn,Tyus Jones,PHX,313,9
Tyus Jones,Grayson Allen,PHX,295,34
Kevin Durant,Bradley Beal,PHX,278,26
Royce O'Neale,Kevin Durant,PHX,273,24
Devin Booker,Ryan Dunn,PHX,270,55
Grayson Allen,Bradley Beal,PHX,251,15
Mason Plumlee,Bradley Beal,PHX,251,27
Oso Ighodaro,Tyus Jones,PHX,239,5
Oso Ighodaro,Devin Booker,PHX,230,11
Kevin Durant,Royce O'Neale,PHX,215,36
Bradley Beal,Grayson Allen,PHX,210,21
Ryan Dunn,Devin Booker,PHX,207,8
Tyus Jones,Ryan Dunn,PHX,199,34
Bradley Beal,Royce O'Neale,PHX,199,21
Devin Booker,Oso Ighodaro,PHX,193,25
Grayson Allen,Kevin Durant,PHX,188,15
Kevin Durant,Mason Plumlee,PHX,184,21
Royce O'Neale,Grayson Allen,PHX,178,25
Mason Plumlee,Kevin Durant,PHX,174,18
Devin Booker,Mason Plumlee,PHX,162,15
Bradley Beal,Mason Plumlee,PHX,152,17
Mason Plumlee,Grayson Allen,PHX,139,9
Tyus Jones,Mason Plumlee,PHX,128,12
Kevin Durant,Grayson Allen,PHX,125,18
Tyus Jones,Oso Ighodaro,PHX,125,17
Mason Plumlee,Royce O'Neale,PHX,121,9
Grayson Allen,Royce O'Neale,PHX,117,15
Oso Ighodaro,Bradley Beal,PHX,116,7
Ryan Dunn,Bradley Beal,PHX,103,3
Kevin Durant,Oso Ighodaro,PHX,103,16
Ryan Dunn,Kevin Durant,PHX,100,7
Oso Ighodaro,Grayson Allen,PHX,98,8
Grayson Allen,Mason Plumlee,PHX,98,17
Oso Ighodaro,Royce O'Neale,PHX,86,7
Oso Ighodaro,Kevin Durant,PHX,82,6
Kevin Durant,Ryan Dunn,PHX,81,15
Bradley Beal,Oso Ighodaro,PHX,80,3
Bradley Beal,Ryan Dunn,PHX,80,13
Grayson Allen,Oso Ighodaro,PHX,79,9
Cody Martin,Tyus Jones,PHX,76,1
Royce O'Neale,Oso Ighodaro,PHX,65,4
Mason Plumlee,Ryan Dunn,PHX,64,17
Ryan Dunn,Royce O'Neale,PHX,53,3
Ryan Dunn,Grayson Allen,PHX,51,7
Royce O'Neale,Mason Plumlee,PHX,51,3
Ryan Dunn,Mason Plumlee,PHX,49,1
Grayson Allen,Ryan Dunn,PHX,47,3
Ryan Dunn,Oso Ighodaro,PHX,47,3
Royce O'Neale,Ryan Dunn,PHX,47,4
Oso Ighodaro,Ryan Dunn,PHX,42,8
Tyus Jones,Cody Martin,PHX,31,6
Devin Booker,Cody Martin,PHX,25,0
Oso Ighodaro,Cody Martin,PHX,25,4
Cody Martin,Devin Booker,PHX,25,2
Royce O'Neale,Cody Martin,PHX,22,2
Cody Martin,Royce O'Neale,PHX,18,2
Cody Martin,Grayson Allen,PHX,17,2
Cody Martin,Oso Ighodaro,PHX,16,4
Cody Martin,Kevin Durant,PHX,14,2
Grayson Allen,Cody Martin,PHX,10,1
Kevin Durant,Cody Martin,PHX,6,1
Mason Plumlee,Oso Ighodaro,PHX,5,1
Cody Martin,Mason Plumlee,PHX,4,0
Cody Martin,Bradley Beal,PHX,4,0
Bradley Beal,Cody Martin,PHX,3,0
Cody Martin,Ryan Dunn,PHX,2,1
Oso Ighodaro,Mason Plumlee,PHX,2,1
Ryan Dunn,Cody Martin,PHX,2,0
Mason Plumlee,Cody Martin,PHX,2,0
