Passer,Receiver,Team,Passes,Assists
Deni Avdija,Anfernee Simons,POR,872,40
Anfernee Simons,Deni Avdija,POR,664,57
Deni Avdija,Scoot Henderson,POR,624,21
Toumani Camara,Anfernee Simons,POR,577,28
Toumani Camara,Scoot Henderson,POR,515,13
Shaedon Sharpe,Anfernee Simons,POR,499,20
Scoot Henderson,Deni Avdija,POR,450,32
Anfernee Simons,Shaedon Sharpe,POR,440,47
Deni Avdija,Shaedon Sharpe,POR,419,44
Scoot Henderson,Shaedon Sharpe,POR,415,45
Shaedon Sharpe,Scoot Henderson,POR,412,23
Scoot Henderson,Anfernee Simons,POR,385,29
Anfernee Simons,Toumani Camara,POR,379,55
Deandre Ayton,Anfernee Simons,POR,377,5
Anfernee Simons,Scoot Henderson,POR,373,17
Toumani Camara,Shaedon Sharpe,POR,364,32
Anfernee Simons,Jerami Grant,POR,351,49
Deni Avdija,Toumani Camara,POR,351,58
Toumani Camara,Deni Avdija,POR,342,33
Shaedon Sharpe,Deni Avdija,POR,337,33
Jerami Grant,Anfernee Simons,POR,322,14
Scoot Henderson,Toumani Camara,POR,318,47
Deni Avdija,Dalano Banton,POR,310,17
Anfernee Simons,Deandre Ayton,POR,306,49
Dalano Banton,Shaedon Sharpe,POR,292,23
Scoot Henderson,Jerami Grant,POR,292,40
Scoot Henderson,Deandre Ayton,POR,270,49
Shaedon Sharpe,Dalano Banton,POR,264,16
Shaedon Sharpe,Toumani Camara,POR,253,35
Deandre Ayton,Scoot Henderson,POR,240,8
Dalano Banton,Deni Avdija,POR,239,22
Donovan Clingan,Anfernee Simons,POR,230,22
Donovan Clingan,Scoot Henderson,POR,229,3
Jerami Grant,Scoot Henderson,POR,224,12
Deandre Ayton,Deni Avdija,POR,215,15
Deni Avdija,Deandre Ayton,POR,209,31
Scoot Henderson,Donovan Clingan,POR,205,26
Donovan Clingan,Shaedon Sharpe,POR,200,14
Dalano Banton,Anfernee Simons,POR,196,10
Toumani Camara,Dalano Banton,POR,194,10
Donovan Clingan,Deni Avdija,POR,178,13
Deni Avdija,Jerami Grant,POR,170,15
Anfernee Simons,Dalano Banton,POR,165,14
Toumani Camara,Jerami Grant,POR,162,15
Anfernee Simons,Donovan Clingan,POR,159,9
Deni Avdija,Donovan Clingan,POR,155,27
Dalano Banton,Scoot Henderson,POR,145,4
Dalano Banton,Donovan Clingan,POR,145,22
Dalano Banton,Toumani Camara,POR,142,20
Kris Murray,Scoot Henderson,POR,139,7
Donovan Clingan,Dalano Banton,POR,138,5
Jerami Grant,Deni Avdija,POR,126,10
Scoot Henderson,Dalano Banton,POR,124,14
Jerami Grant,Toumani Camara,POR,119,19
Toumani Camara,Deandre Ayton,POR,117,22
Kris Murray,Dalano Banton,POR,115,5
Scoot Henderson,Kris Murray,POR,114,12
Deandre Ayton,Jerami Grant,POR,113,13
Deandre Ayton,Shaedon Sharpe,POR,112,11
Donovan Clingan,Toumani Camara,POR,110,5
Jerami Grant,Shaedon Sharpe,POR,102,5
Shaedon Sharpe,Donovan Clingan,POR,101,6
Jerami Grant,Deandre Ayton,POR,98,24
Shaedon Sharpe,Deandre Ayton,POR,93,14
Dalano Banton,Kris Murray,POR,90,7
Toumani Camara,Donovan Clingan,POR,90,9
Shaedon Sharpe,Jerami Grant,POR,88,10
Deandre Ayton,Toumani Camara,POR,87,7
Kris Murray,Anfernee Simons,POR,80,6
Kris Murray,Shaedon Sharpe,POR,79,9
Donovan Clingan,Jerami Grant,POR,76,5
Anfernee Simons,Kris Murray,POR,71,11
Shaedon Sharpe,Kris Murray,POR,62,10
Jerami Grant,Dalano Banton,POR,57,2
Dalano Banton,Jerami Grant,POR,54,6
Kris Murray,Deni Avdija,POR,47,5
Deandre Ayton,Dalano Banton,POR,44,2
Deni Avdija,Kris Murray,POR,43,5
Dalano Banton,Deandre Ayton,POR,38,5
Jerami Grant,Donovan Clingan,POR,37,6
Donovan Clingan,Kris Murray,POR,37,5
Kris Murray,Toumani Camara,POR,30,3
Kris Murray,Donovan Clingan,POR,26,8
Jerami Grant,Kris Murray,POR,19,2
Toumani Camara,Kris Murray,POR,17,1
Kris Murray,Jerami Grant,POR,17,2
Kris Murray,Deandre Ayton,POR,12,3
Deandre Ayton,Kris Murray,POR,11,3
