Passer,Receiver,Team,Passes,Assists
Bub Carrington,Jordan Poole,WAS,627,42
Alex Sarr,Jordan Poole,WAS,615,35
Alex Sarr,Bub Carrington,WAS,560,24
Bub Carrington,Alex Sarr,WAS,552,51
Kyshawn George,Bub Carrington,WAS,492,19
Jordan Poole,Alex Sarr,WAS,491,64
Bilal Coulibaly,Jordan Poole,WAS,481,38
Bub Carrington,Bilal Coulibaly,WAS,469,24
Kyshawn George,Jordan Poole,WAS,430,25
Jordan Poole,Bilal Coulibaly,WAS,416,38
Bub Carrington,Kyshawn George,WAS,405,35
Bilal Coulibaly,Bub Carrington,WAS,375,17
Justin Champagnie,Bub Carrington,WAS,368,12
Jordan Poole,Bub Carrington,WAS,364,27
Alex Sarr,Bilal Coulibaly,WAS,315,24
Corey Kispert,Bub Carrington,WAS,288,11
Bub Carrington,Corey Kispert,WAS,286,40
Jordan Poole,Kyshawn George,WAS,250,13
Kyshawn George,Bilal Coulibaly,WAS,247,17
Kyshawn George,Alex Sarr,WAS,244,27
Bilal Coulibaly,Alex Sarr,WAS,243,40
Bilal Coulibaly,Kyshawn George,WAS,233,25
Jordan Poole,Corey Kispert,WAS,215,35
Alex Sarr,Kyshawn George,WAS,211,16
Bub Carrington,Justin Champagnie,WAS,203,35
Corey Kispert,Jordan Poole,WAS,202,7
Justin Champagnie,Jordan Poole,WAS,194,4
Kyshawn George,Corey Kispert,WAS,166,22
Corey Kispert,Kyshawn George,WAS,161,18
Bub Carrington,Malcolm Brogdon,WAS,156,4
Bilal Coulibaly,Corey Kispert,WAS,152,17
Alex Sarr,Malcolm Brogdon,WAS,130,6
Corey Kispert,Bilal Coulibaly,WAS,128,9
Malcolm Brogdon,Corey Kispert,WAS,123,27
Kyshawn George,Malcolm Brogdon,WAS,119,4
Malcolm Brogdon,Bub Carrington,WAS,114,9
Richaun Holmes,Bub Carrington,WAS,113,6
Bub Carrington,Richaun Holmes,WAS,111,13
Malcolm Brogdon,Alex Sarr,WAS,110,13
Jordan Poole,Justin Champagnie,WAS,107,21
Corey Kispert,Malcolm Brogdon,WAS,104,3
Justin Champagnie,Alex Sarr,WAS,99,7
Malcolm Brogdon,Jordan Poole,WAS,97,4
Malcolm Brogdon,Bilal Coulibaly,WAS,96,5
Jordan Poole,Khris Middleton,WAS,88,7
Richaun Holmes,Jordan Poole,WAS,88,2
Justin Champagnie,Bilal Coulibaly,WAS,88,0
Jordan Poole,Malcolm Brogdon,WAS,82,7
Bilal Coulibaly,Malcolm Brogdon,WAS,81,6
Alex Sarr,Khris Middleton,WAS,79,3
Bub Carrington,Khris Middleton,WAS,77,6
Jordan Poole,Richaun Holmes,WAS,77,9
Khris Middleton,Alex Sarr,WAS,76,14
Khris Middleton,Jordan Poole,WAS,74,5
Kyshawn George,Khris Middleton,WAS,72,8
Alex Sarr,Corey Kispert,WAS,71,8
Alex Sarr,Justin Champagnie,WAS,71,12
Malcolm Brogdon,Kyshawn George,WAS,69,4
Corey Kispert,Alex Sarr,WAS,65,6
Justin Champagnie,Kyshawn George,WAS,64,1
Richaun Holmes,Corey Kispert,WAS,61,12
Bilal Coulibaly,Justin Champagnie,WAS,59,10
Richaun Holmes,Bilal Coulibaly,WAS,58,3
Kyshawn George,Justin Champagnie,WAS,57,8
Khris Middleton,Kyshawn George,WAS,57,7
Justin Champagnie,Malcolm Brogdon,WAS,52,2
Richaun Holmes,Kyshawn George,WAS,47,8
Corey Kispert,Richaun Holmes,WAS,47,5
Kyshawn George,Richaun Holmes,WAS,44,9
Bilal Coulibaly,Richaun Holmes,WAS,44,5
Justin Champagnie,Corey Kispert,WAS,39,3
Khris Middleton,Bub Carrington,WAS,39,5
Khris Middleton,Bilal Coulibaly,WAS,38,8
Corey Kispert,Justin Champagnie,WAS,37,3
Malcolm Brogdon,Justin Champagnie,WAS,33,9
Bilal Coulibaly,Khris Middleton,WAS,31,3
Richaun Holmes,Malcolm Brogdon,WAS,28,1
Justin Champagnie,Richaun Holmes,WAS,25,3
Richaun Holmes,Justin Champagnie,WAS,21,1
Khris Middleton,Justin Champagnie,WAS,14,2
Malcolm Brogdon,Richaun Holmes,WAS,14,0
Justin Champagnie,Khris Middleton,WAS,12,0
Richaun Holmes,Khris Middleton,WAS,10,2
Khris Middleton,Richaun Holmes,WAS,9,3
Khris Middleton,Corey Kispert,WAS,3,2
Corey Kispert,Khris Middleton,WAS,2,0
